Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,1504,38.7814,1465.22,1542.78
52,0.03,2316,48.1248,2267.88,2364.12
53,0.05,577,24.0208,552.979,601.021
54,0.07,334,18.2757,315.724,352.276
55,0.09,200,14.1421,185.858,214.142
56,0.11,156,12.49,143.51,168.49
57,0.13,113,10.6301,102.37,123.63
58,0.15,82,9.05539,72.9446,91.0554
59,0.17,70,8.3666,61.6334,78.3666
60,0.19,57,7.54983,49.4502,64.5498
61,0.21,45,6.7082,38.2918,51.7082
62,0.23,41,6.40312,34.5969,47.4031
63,0.25,33,5.74456,27.2554,38.7446
64,0.27,25,5,20,30
65,0.29,21,4.58258,16.4174,25.5826
66,0.31,24,4.89898,19.101,28.899
67,0.33,13,3.60555,9.39445,16.6056
68,0.35,11,3.31662,7.68338,14.3166
69,0.37,14,3.74166,10.2583,17.7417
70,0.39,5,2.23607,2.76393,7.23607
71,0.41,12,3.4641,8.5359,15.4641
72,0.43,8,2.82843,5.17157,10.8284
73,0.45,9,3,6,12
74,0.47,7,2.64575,4.35425,9.64575
75,0.49,4,2,2,6
76,0.51,3,1.73205,1.26795,4.73205
77,0.53,8,2.82843,5.17157,10.8284
78,0.55,12,3.4641,8.5359,15.4641
79,0.57,4,2,2,6
80,0.59,6,2.44949,3.55051,8.44949
81,0.61,7,2.64575,4.35425,9.64575
82,0.63,3,1.73205,1.26795,4.73205
83,0.65,4,2,2,6
84,0.67,9,3,6,12
85,0.69,1,1,0,2
86,0.71,6,2.44949,3.55051,8.44949
87,0.73,4,2,2,6
88,0.75,4,2,2,6
89,0.77,7,2.64575,4.35425,9.64575
90,0.79,5,2.23607,2.76393,7.23607
91,0.81,0,0,0,0
92,0.83,18,4.24264,13.7574,22.2426
93,0.85,0,0,0,0
94,0.87,1,1,0,2
95,0.89,11,3.31662,7.68338,14.3166
96,0.91,4,2,2,6
97,0.93,3,1.73205,1.26795,4.73205
98,0.95,0,0,0,0
99,0.97,1,1,0,2
100,0.99,10,3.16228,6.83772,13.1623
