Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,327,18.0831,308.917,345.083
52,0.03,1272,35.6651,1236.33,1307.67
53,0.05,1477,38.4318,1438.57,1515.43
54,0.07,873,29.5466,843.453,902.547
55,0.09,546,23.3666,522.633,569.367
56,0.11,381,19.5192,361.481,400.519
57,0.13,273,16.5227,256.477,289.523
58,0.15,226,15.0333,210.967,241.033
59,0.17,162,12.7279,149.272,174.728
60,0.19,112,10.583,101.417,122.583
61,0.21,103,10.1489,92.8511,113.149
62,0.23,100,10,90,110
63,0.25,68,8.24621,59.7538,76.2462
64,0.27,72,8.48528,63.5147,80.4853
65,0.29,64,8,56,72
66,0.31,38,6.16441,31.8356,44.1644
67,0.33,38,6.16441,31.8356,44.1644
68,0.35,32,5.65685,26.3431,37.6569
69,0.37,18,4.24264,13.7574,22.2426
70,0.39,12,3.4641,8.5359,15.4641
71,0.41,21,4.58258,16.4174,25.5826
72,0.43,8,2.82843,5.17157,10.8284
73,0.45,14,3.74166,10.2583,17.7417
74,0.47,9,3,6,12
75,0.49,11,3.31662,7.68338,14.3166
76,0.51,2,1.41421,0.585786,3.41421
77,0.53,3,1.73205,1.26795,4.73205
78,0.55,8,2.82843,5.17157,10.8284
79,0.57,2,1.41421,0.585786,3.41421
80,0.59,5,2.23607,2.76393,7.23607
81,0.61,4,2,2,6
82,0.63,4,2,2,6
83,0.65,2,1.41421,0.585786,3.41421
84,0.67,4,2,2,6
85,0.69,2,1.41421,0.585786,3.41421
86,0.71,5,2.23607,2.76393,7.23607
87,0.73,1,1,0,2
88,0.75,1,1,0,2
89,0.77,6,2.44949,3.55051,8.44949
90,0.79,1,1,0,2
91,0.81,0,0,0,0
92,0.83,8,2.82843,5.17157,10.8284
93,0.85,0,0,0,0
94,0.87,2,1.41421,0.585786,3.41421
95,0.89,4,2,2,6
96,0.91,1,1,0,2
97,0.93,1,1,0,2
98,0.95,0,0,0,0
99,0.97,1,1,0,2
100,0.99,7,2.64575,4.35425,9.64575
