Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,101,10.0499,90.9501,111.05
52,0.03,189,13.7477,175.252,202.748
53,0.05,75,8.66025,66.3397,83.6603
54,0.07,78,8.83176,69.1682,86.8318
55,0.09,47,6.85565,40.1443,53.8557
56,0.11,36,6,30,42
57,0.13,26,5.09902,20.901,31.099
58,0.15,18,4.24264,13.7574,22.2426
59,0.17,20,4.47214,15.5279,24.4721
60,0.19,20,4.47214,15.5279,24.4721
61,0.21,15,3.87298,11.127,18.873
62,0.23,12,3.4641,8.5359,15.4641
63,0.25,9,3,6,12
64,0.27,18,4.24264,13.7574,22.2426
65,0.29,15,3.87298,11.127,18.873
66,0.31,11,3.31662,7.68338,14.3166
67,0.33,6,2.44949,3.55051,8.44949
68,0.35,2,1.41421,0.585786,3.41421
69,0.37,12,3.4641,8.5359,15.4641
70,0.39,1,1,0,2
71,0.41,8,2.82843,5.17157,10.8284
72,0.43,3,1.73205,1.26795,4.73205
73,0.45,6,2.44949,3.55051,8.44949
74,0.47,4,2,2,6
75,0.49,2,1.41421,0.585786,3.41421
76,0.51,0,0,0,0
77,0.53,0,0,0,0
78,0.55,3,1.73205,1.26795,4.73205
79,0.57,6,2.44949,3.55051,8.44949
80,0.59,3,1.73205,1.26795,4.73205
81,0.61,5,2.23607,2.76393,7.23607
82,0.63,2,1.41421,0.585786,3.41421
83,0.65,1,1,0,2
84,0.67,3,1.73205,1.26795,4.73205
85,0.69,0,0,0,0
86,0.71,2,1.41421,0.585786,3.41421
87,0.73,3,1.73205,1.26795,4.73205
88,0.75,2,1.41421,0.585786,3.41421
89,0.77,0,0,0,0
90,0.79,1,1,0,2
91,0.81,0,0,0,0
92,0.83,3,1.73205,1.26795,4.73205
93,0.85,0,0,0,0
94,0.87,3,1.73205,1.26795,4.73205
95,0.89,5,2.23607,2.76393,7.23607
96,0.91,4,2,2,6
97,0.93,0,0,0,0
98,0.95,0,0,0,0
99,0.97,0,0,0,0
100,0.99,2,1.41421,0.585786,3.41421
