Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,7,2.64575,4.35425,9.64575
52,0.03,61,7.81025,53.1898,68.8102
53,0.05,134,11.5758,122.424,145.576
54,0.07,137,11.7047,125.295,148.705
55,0.09,87,9.32738,77.6726,96.3274
56,0.11,74,8.60233,65.3977,82.6023
57,0.13,70,8.3666,61.6334,78.3666
58,0.15,56,7.48331,48.5167,63.4833
59,0.17,43,6.55744,36.4426,49.5574
60,0.19,38,6.16441,31.8356,44.1644
61,0.21,38,6.16441,31.8356,44.1644
62,0.23,25,5,20,30
63,0.25,24,4.89898,19.101,28.899
64,0.27,15,3.87298,11.127,18.873
65,0.29,18,4.24264,13.7574,22.2426
66,0.31,11,3.31662,7.68338,14.3166
67,0.33,13,3.60555,9.39445,16.6056
68,0.35,14,3.74166,10.2583,17.7417
69,0.37,4,2,2,6
70,0.39,6,2.44949,3.55051,8.44949
71,0.41,9,3,6,12
72,0.43,3,1.73205,1.26795,4.73205
73,0.45,8,2.82843,5.17157,10.8284
74,0.47,6,2.44949,3.55051,8.44949
75,0.49,5,2.23607,2.76393,7.23607
76,0.51,10,3.16228,6.83772,13.1623
77,0.53,2,1.41421,0.585786,3.41421
78,0.55,10,3.16228,6.83772,13.1623
79,0.57,0,0,0,0
80,0.59,6,2.44949,3.55051,8.44949
81,0.61,5,2.23607,2.76393,7.23607
82,0.63,2,1.41421,0.585786,3.41421
83,0.65,1,1,0,2
84,0.67,6,2.44949,3.55051,8.44949
85,0.69,2,1.41421,0.585786,3.41421
86,0.71,5,2.23607,2.76393,7.23607
87,0.73,5,2.23607,2.76393,7.23607
88,0.75,2,1.41421,0.585786,3.41421
89,0.77,4,2,2,6
90,0.79,3,1.73205,1.26795,4.73205
91,0.81,0,0,0,0
92,0.83,9,3,6,12
93,0.85,0,0,0,0
94,0.87,3,1.73205,1.26795,4.73205
95,0.89,7,2.64575,4.35425,9.64575
96,0.91,1,1,0,2
97,0.93,4,2,2,6
98,0.95,0,0,0,0
99,0.97,1,1,0,2
100,0.99,2,1.41421,0.585786,3.41421
