Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,107,10.3441,96.6559,117.344
52,0.03,1007,31.7333,975.267,1038.73
53,0.05,997,31.5753,965.425,1028.58
54,0.07,764,27.6405,736.359,791.641
55,0.09,521,22.8254,498.175,543.825
56,0.11,389,19.7231,369.277,408.723
57,0.13,340,18.4391,321.561,358.439
58,0.15,263,16.2173,246.783,279.217
59,0.17,229,15.1327,213.867,244.133
60,0.19,184,13.5647,170.435,197.565
61,0.21,153,12.3693,140.631,165.369
62,0.23,159,12.6095,146.39,171.61
63,0.25,125,11.1803,113.82,136.18
64,0.27,102,10.0995,91.9005,112.1
65,0.29,83,9.11043,73.8896,92.1104
66,0.31,82,9.05539,72.9446,91.0554
67,0.33,87,9.32738,77.6726,96.3274
68,0.35,67,8.18535,58.8146,75.1854
69,0.37,45,6.7082,38.2918,51.7082
70,0.39,37,6.08276,30.9172,43.0828
71,0.41,50,7.07107,42.9289,57.0711
72,0.43,43,6.55744,36.4426,49.5574
73,0.45,53,7.28011,45.7199,60.2801
74,0.47,35,5.91608,29.0839,40.9161
75,0.49,32,5.65685,26.3431,37.6569
76,0.51,23,4.79583,18.2042,27.7958
77,0.53,28,5.2915,22.7085,33.2915
78,0.55,39,6.245,32.755,45.245
79,0.57,27,5.19615,21.8038,32.1962
80,0.59,19,4.3589,14.6411,23.3589
81,0.61,17,4.12311,12.8769,21.1231
82,0.63,21,4.58258,16.4174,25.5826
83,0.65,7,2.64575,4.35425,9.64575
84,0.67,22,4.69042,17.3096,26.6904
85,0.69,11,3.31662,7.68338,14.3166
86,0.71,22,4.69042,17.3096,26.6904
87,0.73,21,4.58258,16.4174,25.5826
88,0.75,12,3.4641,8.5359,15.4641
89,0.77,26,5.09902,20.901,31.099
90,0.79,12,3.4641,8.5359,15.4641
91,0.81,0,0,0,0
92,0.83,40,6.32456,33.6754,46.3246
93,0.85,0,0,0,0
94,0.87,15,3.87298,11.127,18.873
95,0.89,24,4.89898,19.101,28.899
96,0.91,6,2.44949,3.55051,8.44949
97,0.93,5,2.23607,2.76393,7.23607
98,0.95,0,0,0,0
99,0.97,5,2.23607,2.76393,7.23607
100,0.99,18,4.24264,13.7574,22.2426
