Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,5,2.23607,2.76393,7.23607
52,0.03,46,6.78233,39.2177,52.7823
53,0.05,49,7,42,56
54,0.07,33,5.74456,27.2554,38.7446
55,0.09,25,5,20,30
56,0.11,23,4.79583,18.2042,27.7958
57,0.13,13,3.60555,9.39445,16.6056
58,0.15,13,3.60555,9.39445,16.6056
59,0.17,11,3.31662,7.68338,14.3166
60,0.19,10,3.16228,6.83772,13.1623
61,0.21,9,3,6,12
62,0.23,12,3.4641,8.5359,15.4641
63,0.25,5,2.23607,2.76393,7.23607
64,0.27,6,2.44949,3.55051,8.44949
65,0.29,6,2.44949,3.55051,8.44949
66,0.31,5,2.23607,2.76393,7.23607
67,0.33,2,1.41421,0.585786,3.41421
68,0.35,4,2,2,6
69,0.37,1,1,0,2
70,0.39,3,1.73205,1.26795,4.73205
71,0.41,5,2.23607,2.76393,7.23607
72,0.43,5,2.23607,2.76393,7.23607
73,0.45,2,1.41421,0.585786,3.41421
74,0.47,5,2.23607,2.76393,7.23607
75,0.49,4,2,2,6
76,0.51,0,0,0,0
77,0.53,0,0,0,0
78,0.55,0,0,0,0
79,0.57,2,1.41421,0.585786,3.41421
80,0.59,1,1,0,2
81,0.61,1,1,0,2
82,0.63,1,1,0,2
83,0.65,1,1,0,2
84,0.67,1,1,0,2
85,0.69,2,1.41421,0.585786,3.41421
86,0.71,0,0,0,0
87,0.73,1,1,0,2
88,0.75,0,0,0,0
89,0.77,2,1.41421,0.585786,3.41421
90,0.79,0,0,0,0
91,0.81,0,0,0,0
92,0.83,1,1,0,2
93,0.85,0,0,0,0
94,0.87,0,0,0,0
95,0.89,5,2.23607,2.76393,7.23607
96,0.91,0,0,0,0
97,0.93,0,0,0,0
98,0.95,0,0,0,0
99,0.97,0,0,0,0
100,0.99,0,0,0,0
