Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,244,15.6205,228.38,259.62
52,0.03,1511,38.8716,1472.13,1549.87
53,0.05,1562,39.5221,1522.48,1601.52
54,0.07,1252,35.3836,1216.62,1287.38
55,0.09,991,31.4802,959.52,1022.48
56,0.11,801,28.3019,772.698,829.302
57,0.13,707,26.5895,680.411,733.589
58,0.15,556,23.5797,532.42,579.58
59,0.17,479,21.8861,457.114,500.886
60,0.19,411,20.2731,390.727,431.273
61,0.21,315,17.7482,297.252,332.748
62,0.23,320,17.8885,302.111,337.889
63,0.25,282,16.7929,265.207,298.793
64,0.27,247,15.7162,231.284,262.716
65,0.29,191,13.8203,177.18,204.82
66,0.31,205,14.3178,190.682,219.318
67,0.33,167,12.9228,154.077,179.923
68,0.35,167,12.9228,154.077,179.923
69,0.37,143,11.9583,131.042,154.958
70,0.39,116,10.7703,105.23,126.77
71,0.41,142,11.9164,130.084,153.916
72,0.43,112,10.583,101.417,122.583
73,0.45,130,11.4018,118.598,141.402
74,0.47,109,10.4403,98.5597,119.44
75,0.49,83,9.11043,73.8896,92.1104
76,0.51,93,9.64365,83.3563,102.644
77,0.53,80,8.94427,71.0557,88.9443
78,0.55,124,11.1355,112.864,135.136
79,0.57,70,8.3666,61.6334,78.3666
80,0.59,91,9.53939,81.4606,100.539
81,0.61,103,10.1489,92.8511,113.149
82,0.63,61,7.81025,53.1898,68.8102
83,0.65,22,4.69042,17.3096,26.6904
84,0.67,99,9.94987,89.0501,108.95
85,0.69,38,6.16441,31.8356,44.1644
86,0.71,89,9.43398,79.566,98.434
87,0.73,65,8.06226,56.9377,73.0623
88,0.75,39,6.245,32.755,45.245
89,0.77,82,9.05539,72.9446,91.0554
90,0.79,46,6.78233,39.2177,52.7823
91,0.81,0,0,0,0
92,0.83,142,11.9164,130.084,153.916
93,0.85,0,0,0,0
94,0.87,55,7.4162,47.5838,62.4162
95,0.89,84,9.16515,74.8348,93.1652
96,0.91,28,5.2915,22.7085,33.2915
97,0.93,33,5.74456,27.2554,38.7446
98,0.95,0,0,0,0
99,0.97,29,5.38516,23.6148,34.3852
100,0.99,107,10.3441,96.6559,117.344
