Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,0,0,0,0
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,0,0,0,0
19,-0.63,0,0,0,0
20,-0.61,0,0,0,0
21,-0.59,0,0,0,0
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,0,0,0,0
29,-0.43,0,0,0,0
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,73,8.544,64.456,81.544
52,0.03,449,21.1896,427.81,470.19
53,0.05,355,18.8414,336.159,373.841
54,0.07,302,17.3781,284.622,319.378
55,0.09,220,14.8324,205.168,234.832
56,0.11,212,14.5602,197.44,226.56
57,0.13,148,12.1655,135.834,160.166
58,0.15,112,10.583,101.417,122.583
59,0.17,109,10.4403,98.5597,119.44
60,0.19,99,9.94987,89.0501,108.95
61,0.21,88,9.38083,78.6192,97.3808
62,0.23,66,8.12404,57.876,74.124
63,0.25,49,7,42,56
64,0.27,60,7.74597,52.254,67.746
65,0.29,51,7.14143,43.8586,58.1414
66,0.31,37,6.08276,30.9172,43.0828
67,0.33,38,6.16441,31.8356,44.1644
68,0.35,37,6.08276,30.9172,43.0828
69,0.37,30,5.47723,24.5228,35.4772
70,0.39,24,4.89898,19.101,28.899
71,0.41,29,5.38516,23.6148,34.3852
72,0.43,30,5.47723,24.5228,35.4772
73,0.45,37,6.08276,30.9172,43.0828
74,0.47,30,5.47723,24.5228,35.4772
75,0.49,19,4.3589,14.6411,23.3589
76,0.51,21,4.58258,16.4174,25.5826
77,0.53,20,4.47214,15.5279,24.4721
78,0.55,42,6.48074,35.5193,48.4807
79,0.57,22,4.69042,17.3096,26.6904
80,0.59,22,4.69042,17.3096,26.6904
81,0.61,34,5.83095,28.169,39.831
82,0.63,15,3.87298,11.127,18.873
83,0.65,10,3.16228,6.83772,13.1623
84,0.67,21,4.58258,16.4174,25.5826
85,0.69,9,3,6,12
86,0.71,26,5.09902,20.901,31.099
87,0.73,14,3.74166,10.2583,17.7417
88,0.75,17,4.12311,12.8769,21.1231
89,0.77,26,5.09902,20.901,31.099
90,0.79,13,3.60555,9.39445,16.6056
91,0.81,0,0,0,0
92,0.83,41,6.40312,34.5969,47.4031
93,0.85,0,0,0,0
94,0.87,15,3.87298,11.127,18.873
95,0.89,17,4.12311,12.8769,21.1231
96,0.91,3,1.73205,1.26795,4.73205
97,0.93,4,2,2,6
98,0.95,0,0,0,0
99,0.97,8,2.82843,5.17157,10.8284
100,0.99,23,4.79583,18.2042,27.7958
