Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,341,18.4662,322.534,359.466
2,0.03,672,25.923,646.077,697.923
3,0.05,522,22.8473,499.153,544.847
4,0.07,751,27.4044,723.596,778.404
5,0.09,1011,31.7962,979.204,1042.8
6,0.11,1284,35.8329,1248.17,1319.83
7,0.13,1486,38.5487,1447.45,1524.55
8,0.15,1578,39.724,1538.28,1617.72
9,0.17,1339,36.5923,1302.41,1375.59
10,0.19,1333,36.5103,1296.49,1369.51
11,0.21,1421,37.6962,1383.3,1458.7
12,0.23,1422,37.7094,1384.29,1459.71
13,0.25,1437,37.9078,1399.09,1474.91
14,0.27,1333,36.5103,1296.49,1369.51
15,0.29,1334,36.524,1297.48,1370.52
16,0.31,897,29.95,867.05,926.95
17,0.33,557,23.6008,533.399,580.601
18,0.35,363,19.0526,343.947,382.053
19,0.37,257,16.0312,240.969,273.031
20,0.39,210,14.4914,195.509,224.491
21,0.41,162,12.7279,149.272,174.728
22,0.43,122,11.0454,110.955,133.045
23,0.45,108,10.3923,97.6077,118.392
24,0.47,73,8.544,64.456,81.544
25,0.49,63,7.93725,55.0627,70.9373
26,0.51,71,8.42615,62.5739,79.4261
27,0.53,72,8.48528,63.5147,80.4853
28,0.55,44,6.63325,37.3668,50.6332
29,0.57,37,6.08276,30.9172,43.0828
30,0.59,26,5.09902,20.901,31.099
31,0.61,30,5.47723,24.5228,35.4772
32,0.63,32,5.65685,26.3431,37.6569
33,0.65,27,5.19615,21.8038,32.1962
34,0.67,21,4.58258,16.4174,25.5826
35,0.69,26,5.09902,20.901,31.099
36,0.71,23,4.79583,18.2042,27.7958
37,0.73,22,4.69042,17.3096,26.6904
38,0.75,21,4.58258,16.4174,25.5826
39,0.77,26,5.09902,20.901,31.099
40,0.79,15,3.87298,11.127,18.873
41,0.81,10,3.16228,6.83772,13.1623
42,0.83,9,3,6,12
43,0.85,13,3.60555,9.39445,16.6056
44,0.87,12,3.4641,8.5359,15.4641
45,0.89,13,3.60555,9.39445,16.6056
46,0.91,8,2.82843,5.17157,10.8284
47,0.93,5,2.23607,2.76393,7.23607
48,0.95,8,2.82843,5.17157,10.8284
49,0.97,7,2.64575,4.35425,9.64575
50,0.99,10,3.16228,6.83772,13.1623
