Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,94,9.69536,84.3046,103.695
2,0.03,178,13.3417,164.658,191.342
3,0.05,159,12.6095,146.39,171.61
4,0.07,200,14.1421,185.858,214.142
5,0.09,234,15.2971,218.703,249.297
6,0.11,243,15.5885,227.412,258.588
7,0.13,286,16.9115,269.088,302.912
8,0.15,264,16.2481,247.752,280.248
9,0.17,286,16.9115,269.088,302.912
10,0.19,312,17.6635,294.336,329.664
11,0.21,434,20.8327,413.167,454.833
12,0.23,455,21.3307,433.669,476.331
13,0.25,498,22.3159,475.684,520.316
14,0.27,513,22.6495,490.35,535.65
15,0.29,508,22.5389,485.461,530.539
16,0.31,371,19.2614,351.739,390.261
17,0.33,270,16.4317,253.568,286.432
18,0.35,177,13.3041,163.696,190.304
19,0.37,123,11.0905,111.909,134.091
20,0.39,97,9.84886,87.1511,106.849
21,0.41,70,8.3666,61.6334,78.3666
22,0.43,67,8.18535,58.8146,75.1854
23,0.45,35,5.91608,29.0839,40.9161
24,0.47,37,6.08276,30.9172,43.0828
25,0.49,29,5.38516,23.6148,34.3852
26,0.51,14,3.74166,10.2583,17.7417
27,0.53,11,3.31662,7.68338,14.3166
28,0.55,19,4.3589,14.6411,23.3589
29,0.57,16,4,12,20
30,0.59,11,3.31662,7.68338,14.3166
31,0.61,9,3,6,12
32,0.63,14,3.74166,10.2583,17.7417
33,0.65,8,2.82843,5.17157,10.8284
34,0.67,7,2.64575,4.35425,9.64575
35,0.69,10,3.16228,6.83772,13.1623
36,0.71,4,2,2,6
37,0.73,4,2,2,6
38,0.75,5,2.23607,2.76393,7.23607
39,0.77,6,2.44949,3.55051,8.44949
40,0.79,3,1.73205,1.26795,4.73205
41,0.81,4,2,2,6
42,0.83,1,1,0,2
43,0.85,4,2,2,6
44,0.87,1,1,0,2
45,0.89,3,1.73205,1.26795,4.73205
46,0.91,1,1,0,2
47,0.93,0,0,0,0
48,0.95,3,1.73205,1.26795,4.73205
49,0.97,0,0,0,0
50,0.99,4,2,2,6
