Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,38,6.16441,31.8356,44.1644
2,0.03,87,9.32738,77.6726,96.3274
3,0.05,60,7.74597,52.254,67.746
4,0.07,71,8.42615,62.5739,79.4261
5,0.09,49,7,42,56
6,0.11,43,6.55744,36.4426,49.5574
7,0.13,42,6.48074,35.5193,48.4807
8,0.15,43,6.55744,36.4426,49.5574
9,0.17,46,6.78233,39.2177,52.7823
10,0.19,27,5.19615,21.8038,32.1962
11,0.21,45,6.7082,38.2918,51.7082
12,0.23,50,7.07107,42.9289,57.0711
13,0.25,39,6.245,32.755,45.245
14,0.27,41,6.40312,34.5969,47.4031
15,0.29,28,5.2915,22.7085,33.2915
16,0.31,16,4,12,20
17,0.33,11,3.31662,7.68338,14.3166
18,0.35,3,1.73205,1.26795,4.73205
19,0.37,4,2,2,6
20,0.39,0,0,0,0
21,0.41,2,1.41421,0.585786,3.41421
22,0.43,1,1,0,2
23,0.45,0,0,0,0
24,0.47,0,0,0,0
25,0.49,1,1,0,2
26,0.51,0,0,0,0
27,0.53,1,1,0,2
28,0.55,2,1.41421,0.585786,3.41421
29,0.57,0,0,0,0
30,0.59,1,1,0,2
31,0.61,2,1.41421,0.585786,3.41421
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,2,1.41421,0.585786,3.41421
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,1,1,0,2
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
