Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,51,7.14143,43.8586,58.1414
2,0.03,215,14.6629,200.337,229.663
3,0.05,218,14.7648,203.235,232.765
4,0.07,208,14.4222,193.578,222.422
5,0.09,157,12.53,144.47,169.53
6,0.11,136,11.6619,124.338,147.662
7,0.13,125,11.1803,113.82,136.18
8,0.15,89,9.43398,79.566,98.434
9,0.17,58,7.61577,50.3842,65.6158
10,0.19,55,7.4162,47.5838,62.4162
11,0.21,52,7.2111,44.7889,59.2111
12,0.23,41,6.40312,34.5969,47.4031
13,0.25,35,5.91608,29.0839,40.9161
14,0.27,21,4.58258,16.4174,25.5826
15,0.29,14,3.74166,10.2583,17.7417
16,0.31,5,2.23607,2.76393,7.23607
17,0.33,10,3.16228,6.83772,13.1623
18,0.35,4,2,2,6
19,0.37,6,2.44949,3.55051,8.44949
20,0.39,3,1.73205,1.26795,4.73205
21,0.41,1,1,0,2
22,0.43,3,1.73205,1.26795,4.73205
23,0.45,3,1.73205,1.26795,4.73205
24,0.47,1,1,0,2
25,0.49,2,1.41421,0.585786,3.41421
26,0.51,2,1.41421,0.585786,3.41421
27,0.53,1,1,0,2
28,0.55,2,1.41421,0.585786,3.41421
29,0.57,0,0,0,0
30,0.59,2,1.41421,0.585786,3.41421
31,0.61,0,0,0,0
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,1,1,0,2
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
