Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,48,6.9282,41.0718,54.9282
2,0.03,243,15.5885,227.412,258.588
3,0.05,272,16.4924,255.508,288.492
4,0.07,230,15.1658,214.834,245.166
5,0.09,184,13.5647,170.435,197.565
6,0.11,149,12.2066,136.793,161.207
7,0.13,145,12.0416,132.958,157.042
8,0.15,132,11.4891,120.511,143.489
9,0.17,97,9.84886,87.1511,106.849
10,0.19,85,9.21954,75.7805,94.2195
11,0.21,69,8.30662,60.6934,77.3066
12,0.23,66,8.12404,57.876,74.124
13,0.25,51,7.14143,43.8586,58.1414
14,0.27,30,5.47723,24.5228,35.4772
15,0.29,18,4.24264,13.7574,22.2426
16,0.31,13,3.60555,9.39445,16.6056
17,0.33,12,3.4641,8.5359,15.4641
18,0.35,9,3,6,12
19,0.37,3,1.73205,1.26795,4.73205
20,0.39,4,2,2,6
21,0.41,1,1,0,2
22,0.43,1,1,0,2
23,0.45,0,0,0,0
24,0.47,0,0,0,0
25,0.49,3,1.73205,1.26795,4.73205
26,0.51,2,1.41421,0.585786,3.41421
27,0.53,0,0,0,0
28,0.55,0,0,0,0
29,0.57,1,1,0,2
30,0.59,0,0,0,0
31,0.61,0,0,0,0
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,1,1,0,2
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
