Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,199,14.1067,184.893,213.107
3,0.05,1297,36.0139,1260.99,1333.01
4,0.07,1251,35.3695,1215.63,1286.37
5,0.09,1078,32.8329,1045.17,1110.83
6,0.11,927,30.4467,896.553,957.447
7,0.13,1077,32.8177,1044.18,1109.82
8,0.15,890,29.8329,860.167,919.833
9,0.17,786,28.0357,757.964,814.036
10,0.19,694,26.3439,667.656,720.344
11,0.21,682,26.1151,655.885,708.115
12,0.23,593,24.3516,568.648,617.352
13,0.25,493,22.2036,470.796,515.204
14,0.27,437,20.9045,416.095,457.905
15,0.29,373,19.3132,353.687,392.313
16,0.31,306,17.4929,288.507,323.493
17,0.33,256,16,240,272
18,0.35,209,14.4568,194.543,223.457
19,0.37,152,12.3288,139.671,164.329
20,0.39,169,13,156,182
21,0.41,139,11.7898,127.21,150.79
22,0.43,105,10.247,94.753,115.247
23,0.45,111,10.5357,100.464,121.536
24,0.47,62,7.87401,54.126,69.874
25,0.49,76,8.7178,67.2822,84.7178
26,0.51,49,7,42,56
27,0.53,22,4.69042,17.3096,26.6904
28,0.55,21,4.58258,16.4174,25.5826
29,0.57,12,3.4641,8.5359,15.4641
30,0.59,8,2.82843,5.17157,10.8284
31,0.61,2,1.41421,0.585786,3.41421
32,0.63,5,2.23607,2.76393,7.23607
33,0.65,5,2.23607,2.76393,7.23607
34,0.67,3,1.73205,1.26795,4.73205
35,0.69,2,1.41421,0.585786,3.41421
36,0.71,5,2.23607,2.76393,7.23607
37,0.73,4,2,2,6
38,0.75,1,1,0,2
39,0.77,1,1,0,2
40,0.79,3,1.73205,1.26795,4.73205
41,0.81,5,2.23607,2.76393,7.23607
42,0.83,1,1,0,2
43,0.85,6,2.44949,3.55051,8.44949
44,0.87,0,0,0,0
45,0.89,2,1.41421,0.585786,3.41421
46,0.91,2,1.41421,0.585786,3.41421
47,0.93,5,2.23607,2.76393,7.23607
48,0.95,1,1,0,2
49,0.97,1,1,0,2
50,0.99,1,1,0,2
