Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,52,7.2111,44.7889,59.2111
3,0.05,349,18.6815,330.318,367.682
4,0.07,296,17.2047,278.795,313.205
5,0.09,257,16.0312,240.969,273.031
6,0.11,196,14,182,210
7,0.13,251,15.843,235.157,266.843
8,0.15,189,13.7477,175.252,202.748
9,0.17,164,12.8062,151.194,176.806
10,0.19,140,11.8322,128.168,151.832
11,0.21,106,10.2956,95.7044,116.296
12,0.23,93,9.64365,83.3563,102.644
13,0.25,69,8.30662,60.6934,77.3066
14,0.27,66,8.12404,57.876,74.124
15,0.29,49,7,42,56
16,0.31,32,5.65685,26.3431,37.6569
17,0.33,24,4.89898,19.101,28.899
18,0.35,13,3.60555,9.39445,16.6056
19,0.37,5,2.23607,2.76393,7.23607
20,0.39,8,2.82843,5.17157,10.8284
21,0.41,6,2.44949,3.55051,8.44949
22,0.43,4,2,2,6
23,0.45,3,1.73205,1.26795,4.73205
24,0.47,3,1.73205,1.26795,4.73205
25,0.49,4,2,2,6
26,0.51,3,1.73205,1.26795,4.73205
27,0.53,0,0,0,0
28,0.55,0,0,0,0
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,1,1,0,2
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,1,1,0,2
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,1,1,0,2
50,0.99,0,0,0,0
