Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,63,7.93725,55.0627,70.9373
2,3,108,10.3923,97.6077,118.392
3,5,126,11.225,114.775,137.225
4,7,177,13.3041,163.696,190.304
5,9,209,14.4568,194.543,223.457
6,11,188,13.7113,174.289,201.711
7,13,204,14.2829,189.717,218.283
8,15,212,14.5602,197.44,226.56
9,17,190,13.784,176.216,203.784
10,19,187,13.6748,173.325,200.675
11,21,193,13.8924,179.108,206.892
12,23,184,13.5647,170.435,197.565
13,25,165,12.8452,152.155,177.845
14,27,183,13.5277,169.472,196.528
15,29,196,14,182,210
16,31,177,13.3041,163.696,190.304
17,33,200,14.1421,185.858,214.142
18,35,163,12.7671,150.233,175.767
19,37,160,12.6491,147.351,172.649
20,39,135,11.619,123.381,146.619
21,41,148,12.1655,135.834,160.166
22,43,144,12,132,156
23,45,175,13.2288,161.771,188.229
24,47,146,12.083,133.917,158.083
25,49,141,11.8743,129.126,152.874
26,51,143,11.9583,131.042,154.958
27,53,151,12.2882,138.712,163.288
28,55,139,11.7898,127.21,150.79
29,57,145,12.0416,132.958,157.042
30,59,116,10.7703,105.23,126.77
31,61,57,7.54983,49.4502,64.5498
32,63,31,5.56776,25.4322,36.5678
33,65,31,5.56776,25.4322,36.5678
34,67,25,5,20,30
35,69,14,3.74166,10.2583,17.7417
36,71,21,4.58258,16.4174,25.5826
37,73,20,4.47214,15.5279,24.4721
38,75,28,5.2915,22.7085,33.2915
39,77,20,4.47214,15.5279,24.4721
40,79,27,5.19615,21.8038,32.1962
41,81,15,3.87298,11.127,18.873
42,83,22,4.69042,17.3096,26.6904
43,85,23,4.79583,18.2042,27.7958
44,87,26,5.09902,20.901,31.099
45,89,19,4.3589,14.6411,23.3589
46,91,16,4,12,20
47,93,16,4,12,20
48,95,15,3.87298,11.127,18.873
49,97,19,4.3589,14.6411,23.3589
50,99,8,2.82843,5.17157,10.8284
