Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,230,15.1658,214.834,245.166
2,3,396,19.8997,376.1,415.9
3,5,476,21.8174,454.183,497.817
4,7,643,25.3574,617.643,668.357
5,9,732,27.0555,704.945,759.055
6,11,745,27.2947,717.705,772.295
7,13,764,27.6405,736.359,791.641
8,15,775,27.8388,747.161,802.839
9,17,783,27.9821,755.018,810.982
10,19,731,27.037,703.963,758.037
11,21,689,26.2488,662.751,715.249
12,23,680,26.0768,653.923,706.077
13,25,620,24.8998,595.1,644.9
14,27,636,25.219,610.781,661.219
15,29,601,24.5153,576.485,625.515
16,31,616,24.8193,591.181,640.819
17,33,626,25.02,600.98,651.02
18,35,626,25.02,600.98,651.02
19,37,614,24.779,589.221,638.779
20,39,494,22.2261,471.774,516.226
21,41,565,23.7697,541.23,588.77
22,43,506,22.4944,483.506,528.494
23,45,543,23.3024,519.698,566.302
24,47,486,22.0454,463.955,508.045
25,49,454,21.3073,432.693,475.307
26,51,490,22.1359,467.864,512.136
27,53,470,21.6795,448.321,491.679
28,55,403,20.0749,382.925,423.075
29,57,413,20.3224,392.678,433.322
30,59,415,20.3715,394.628,435.372
31,61,207,14.3875,192.613,221.387
32,63,162,12.7279,149.272,174.728
33,65,137,11.7047,125.295,148.705
34,67,126,11.225,114.775,137.225
35,69,109,10.4403,98.5597,119.44
36,71,261,16.1555,244.845,277.155
37,73,288,16.9706,271.029,304.971
38,75,288,16.9706,271.029,304.971
39,77,311,17.6352,293.365,328.635
40,79,330,18.1659,311.834,348.166
41,81,294,17.1464,276.854,311.146
42,83,302,17.3781,284.622,319.378
43,85,327,18.0831,308.917,345.083
44,87,318,17.8326,300.167,335.833
45,89,338,18.3848,319.615,356.385
46,91,304,17.4356,286.564,321.436
47,93,286,16.9115,269.088,302.912
48,95,295,17.1756,277.824,312.176
49,97,311,17.6352,293.365,328.635
50,99,297,17.2337,279.766,314.234
