Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,56,7.48331,48.5167,63.4833
2,3,106,10.2956,95.7044,116.296
3,5,112,10.583,101.417,122.583
4,7,86,9.27362,76.7264,95.2736
5,9,71,8.42615,62.5739,79.4261
6,11,90,9.48683,80.5132,99.4868
7,13,83,9.11043,73.8896,92.1104
8,15,69,8.30662,60.6934,77.3066
9,17,60,7.74597,52.254,67.746
10,19,58,7.61577,50.3842,65.6158
11,21,63,7.93725,55.0627,70.9373
12,23,48,6.9282,41.0718,54.9282
13,25,38,6.16441,31.8356,44.1644
14,27,44,6.63325,37.3668,50.6332
15,29,30,5.47723,24.5228,35.4772
16,31,31,5.56776,25.4322,36.5678
17,33,40,6.32456,33.6754,46.3246
18,35,28,5.2915,22.7085,33.2915
19,37,35,5.91608,29.0839,40.9161
20,39,26,5.09902,20.901,31.099
21,41,27,5.19615,21.8038,32.1962
22,43,29,5.38516,23.6148,34.3852
23,45,27,5.19615,21.8038,32.1962
24,47,18,4.24264,13.7574,22.2426
25,49,15,3.87298,11.127,18.873
26,51,20,4.47214,15.5279,24.4721
27,53,20,4.47214,15.5279,24.4721
28,55,22,4.69042,17.3096,26.6904
29,57,14,3.74166,10.2583,17.7417
30,59,14,3.74166,10.2583,17.7417
31,61,14,3.74166,10.2583,17.7417
32,63,11,3.31662,7.68338,14.3166
33,65,14,3.74166,10.2583,17.7417
34,67,10,3.16228,6.83772,13.1623
35,69,12,3.4641,8.5359,15.4641
36,71,13,3.60555,9.39445,16.6056
37,73,13,3.60555,9.39445,16.6056
38,75,10,3.16228,6.83772,13.1623
39,77,8,2.82843,5.17157,10.8284
40,79,7,2.64575,4.35425,9.64575
41,81,9,3,6,12
42,83,6,2.44949,3.55051,8.44949
43,85,5,2.23607,2.76393,7.23607
44,87,7,2.64575,4.35425,9.64575
45,89,8,2.82843,5.17157,10.8284
46,91,8,2.82843,5.17157,10.8284
47,93,3,1.73205,1.26795,4.73205
48,95,4,2,2,6
49,97,4,2,2,6
50,99,6,2.44949,3.55051,8.44949
