Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,52,7.2111,44.7889,59.2111
2,3,128,11.3137,116.686,139.314
3,5,101,10.0499,90.9501,111.05
4,7,121,11,110,132
5,9,111,10.5357,100.464,121.536
6,11,100,10,90,110
7,13,84,9.16515,74.8348,93.1652
8,15,83,9.11043,73.8896,92.1104
9,17,71,8.42615,62.5739,79.4261
10,19,53,7.28011,45.7199,60.2801
11,21,63,7.93725,55.0627,70.9373
12,23,57,7.54983,49.4502,64.5498
13,25,49,7,42,56
14,27,53,7.28011,45.7199,60.2801
15,29,55,7.4162,47.5838,62.4162
16,31,35,5.91608,29.0839,40.9161
17,33,42,6.48074,35.5193,48.4807
18,35,46,6.78233,39.2177,52.7823
19,37,44,6.63325,37.3668,50.6332
20,39,25,5,20,30
21,41,32,5.65685,26.3431,37.6569
22,43,33,5.74456,27.2554,38.7446
23,45,31,5.56776,25.4322,36.5678
24,47,24,4.89898,19.101,28.899
25,49,33,5.74456,27.2554,38.7446
26,51,34,5.83095,28.169,39.831
27,53,22,4.69042,17.3096,26.6904
28,55,21,4.58258,16.4174,25.5826
29,57,20,4.47214,15.5279,24.4721
30,59,18,4.24264,13.7574,22.2426
31,61,18,4.24264,13.7574,22.2426
32,63,16,4,12,20
33,65,15,3.87298,11.127,18.873
34,67,21,4.58258,16.4174,25.5826
35,69,11,3.31662,7.68338,14.3166
36,71,12,3.4641,8.5359,15.4641
37,73,9,3,6,12
38,75,16,4,12,20
39,77,18,4.24264,13.7574,22.2426
40,79,15,3.87298,11.127,18.873
41,81,16,4,12,20
42,83,11,3.31662,7.68338,14.3166
43,85,13,3.60555,9.39445,16.6056
44,87,13,3.60555,9.39445,16.6056
45,89,7,2.64575,4.35425,9.64575
46,91,14,3.74166,10.2583,17.7417
47,93,11,3.31662,7.68338,14.3166
48,95,5,2.23607,2.76393,7.23607
49,97,6,2.44949,3.55051,8.44949
50,99,5,2.23607,2.76393,7.23607
