Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,1,1,0,2
2,3,4,2,2,6
3,5,8,2.82843,5.17157,10.8284
4,7,7,2.64575,4.35425,9.64575
5,9,6,2.44949,3.55051,8.44949
6,11,5,2.23607,2.76393,7.23607
7,13,6,2.44949,3.55051,8.44949
8,15,0,0,0,0
9,17,4,2,2,6
10,19,4,2,2,6
11,21,2,1.41421,0.585786,3.41421
12,23,2,1.41421,0.585786,3.41421
13,25,4,2,2,6
14,27,2,1.41421,0.585786,3.41421
15,29,1,1,0,2
16,31,1,1,0,2
17,33,1,1,0,2
18,35,2,1.41421,0.585786,3.41421
19,37,3,1.73205,1.26795,4.73205
20,39,2,1.41421,0.585786,3.41421
21,41,2,1.41421,0.585786,3.41421
22,43,1,1,0,2
23,45,1,1,0,2
24,47,0,0,0,0
25,49,2,1.41421,0.585786,3.41421
26,51,1,1,0,2
27,53,0,0,0,0
28,55,1,1,0,2
29,57,1,1,0,2
30,59,0,0,0,0
31,61,1,1,0,2
32,63,0,0,0,0
33,65,1,1,0,2
34,67,3,1.73205,1.26795,4.73205
35,69,0,0,0,0
36,71,1,1,0,2
37,73,2,1.41421,0.585786,3.41421
38,75,3,1.73205,1.26795,4.73205
39,77,1,1,0,2
40,79,2,1.41421,0.585786,3.41421
41,81,0,0,0,0
42,83,1,1,0,2
43,85,1,1,0,2
44,87,0,0,0,0
45,89,2,1.41421,0.585786,3.41421
46,91,0,0,0,0
47,93,1,1,0,2
48,95,0,0,0,0
49,97,0,0,0,0
50,99,0,0,0,0
