Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,128,11.3137,116.686,139.314
2,3,453,21.2838,431.716,474.284
3,5,266,16.3095,249.69,282.31
4,7,220,14.8324,205.168,234.832
5,9,202,14.2127,187.787,216.213
6,11,183,13.5277,169.472,196.528
7,13,160,12.6491,147.351,172.649
8,15,169,13,156,182
9,17,149,12.2066,136.793,161.207
10,19,138,11.7473,126.253,149.747
11,21,113,10.6301,102.37,123.63
12,23,106,10.2956,95.7044,116.296
13,25,95,9.74679,85.2532,104.747
14,27,86,9.27362,76.7264,95.2736
15,29,103,10.1489,92.8511,113.149
16,31,70,8.3666,61.6334,78.3666
17,33,80,8.94427,71.0557,88.9443
18,35,64,8,56,72
19,37,64,8,56,72
20,39,68,8.24621,59.7538,76.2462
21,41,63,7.93725,55.0627,70.9373
22,43,53,7.28011,45.7199,60.2801
23,45,37,6.08276,30.9172,43.0828
24,47,48,6.9282,41.0718,54.9282
25,49,31,5.56776,25.4322,36.5678
26,51,39,6.245,32.755,45.245
27,53,34,5.83095,28.169,39.831
28,55,43,6.55744,36.4426,49.5574
29,57,36,6,30,42
30,59,31,5.56776,25.4322,36.5678
31,61,32,5.65685,26.3431,37.6569
32,63,34,5.83095,28.169,39.831
33,65,18,4.24264,13.7574,22.2426
34,67,24,4.89898,19.101,28.899
35,69,25,5,20,30
36,71,21,4.58258,16.4174,25.5826
37,73,14,3.74166,10.2583,17.7417
38,75,29,5.38516,23.6148,34.3852
39,77,24,4.89898,19.101,28.899
40,79,17,4.12311,12.8769,21.1231
41,81,26,5.09902,20.901,31.099
42,83,20,4.47214,15.5279,24.4721
43,85,20,4.47214,15.5279,24.4721
44,87,15,3.87298,11.127,18.873
45,89,8,2.82843,5.17157,10.8284
46,91,12,3.4641,8.5359,15.4641
47,93,10,3.16228,6.83772,13.1623
48,95,10,3.16228,6.83772,13.1623
49,97,13,3.60555,9.39445,16.6056
50,99,10,3.16228,6.83772,13.1623
