Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,129,11.3578,117.642,140.358
2,3,465,21.5639,443.436,486.564
3,5,278,16.6733,261.327,294.673
4,7,199,14.1067,184.893,213.107
5,9,163,12.7671,150.233,175.767
6,11,166,12.8841,153.116,178.884
7,13,150,12.2474,137.753,162.247
8,15,113,10.6301,102.37,123.63
9,17,94,9.69536,84.3046,103.695
10,19,77,8.77496,68.225,85.775
11,21,86,9.27362,76.7264,95.2736
12,23,86,9.27362,76.7264,95.2736
13,25,76,8.7178,67.2822,84.7178
14,27,56,7.48331,48.5167,63.4833
15,29,61,7.81025,53.1898,68.8102
16,31,45,6.7082,38.2918,51.7082
17,33,50,7.07107,42.9289,57.0711
18,35,44,6.63325,37.3668,50.6332
19,37,44,6.63325,37.3668,50.6332
20,39,46,6.78233,39.2177,52.7823
21,41,34,5.83095,28.169,39.831
22,43,37,6.08276,30.9172,43.0828
23,45,41,6.40312,34.5969,47.4031
24,47,41,6.40312,34.5969,47.4031
25,49,32,5.65685,26.3431,37.6569
26,51,28,5.2915,22.7085,33.2915
27,53,35,5.91608,29.0839,40.9161
28,55,27,5.19615,21.8038,32.1962
29,57,25,5,20,30
30,59,24,4.89898,19.101,28.899
31,61,16,4,12,20
32,63,25,5,20,30
33,65,21,4.58258,16.4174,25.5826
34,67,20,4.47214,15.5279,24.4721
35,69,20,4.47214,15.5279,24.4721
36,71,9,3,6,12
37,73,14,3.74166,10.2583,17.7417
38,75,16,4,12,20
39,77,18,4.24264,13.7574,22.2426
40,79,16,4,12,20
41,81,14,3.74166,10.2583,17.7417
42,83,18,4.24264,13.7574,22.2426
43,85,10,3.16228,6.83772,13.1623
44,87,8,2.82843,5.17157,10.8284
45,89,7,2.64575,4.35425,9.64575
46,91,13,3.60555,9.39445,16.6056
47,93,5,2.23607,2.76393,7.23607
48,95,8,2.82843,5.17157,10.8284
49,97,9,3,6,12
50,99,14,3.74166,10.2583,17.7417
