Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,19,4.3589,14.6411,23.3589
2,3,62,7.87401,54.126,69.874
3,5,47,6.85565,40.1443,53.8557
4,7,31,5.56776,25.4322,36.5678
5,9,16,4,12,20
6,11,13,3.60555,9.39445,16.6056
7,13,21,4.58258,16.4174,25.5826
8,15,11,3.31662,7.68338,14.3166
9,17,13,3.60555,9.39445,16.6056
10,19,14,3.74166,10.2583,17.7417
11,21,10,3.16228,6.83772,13.1623
12,23,8,2.82843,5.17157,10.8284
13,25,8,2.82843,5.17157,10.8284
14,27,5,2.23607,2.76393,7.23607
15,29,4,2,2,6
16,31,2,1.41421,0.585786,3.41421
17,33,4,2,2,6
18,35,2,1.41421,0.585786,3.41421
19,37,2,1.41421,0.585786,3.41421
20,39,0,0,0,0
21,41,0,0,0,0
22,43,4,2,2,6
23,45,3,1.73205,1.26795,4.73205
24,47,2,1.41421,0.585786,3.41421
25,49,0,0,0,0
26,51,3,1.73205,1.26795,4.73205
27,53,0,0,0,0
28,55,1,1,0,2
29,57,0,0,0,0
30,59,0,0,0,0
31,61,1,1,0,2
32,63,0,0,0,0
33,65,2,1.41421,0.585786,3.41421
34,67,1,1,0,2
35,69,1,1,0,2
36,71,0,0,0,0
37,73,0,0,0,0
38,75,0,0,0,0
39,77,0,0,0,0
40,79,1,1,0,2
41,81,0,0,0,0
42,83,0,0,0,0
43,85,0,0,0,0
44,87,0,0,0,0
45,89,0,0,0,0
46,91,0,0,0,0
47,93,0,0,0,0
48,95,0,0,0,0
49,97,0,0,0,0
50,99,0,0,0,0
