Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,1162,34.0881,1127.91,1196.09
3,2.5,1115,33.3916,1081.61,1148.39
4,3.5,421,20.5183,400.482,441.518
5,4.5,230,15.1658,214.834,245.166
6,5.5,100,10,90,110
7,6.5,50,7.07107,42.9289,57.0711
8,7.5,30,5.47723,24.5228,35.4772
9,8.5,10,3.16228,6.83772,13.1623
10,9.5,7,2.64575,4.35425,9.64575
11,10.5,6,2.44949,3.55051,8.44949
12,11.5,8,2.82843,5.17157,10.8284
13,12.5,4,2,2,6
14,13.5,1,1,0,2
15,14.5,1,1,0,2
16,15.5,1,1,0,2
17,16.5,1,1,0,2
18,17.5,3,1.73205,1.26795,4.73205
19,18.5,0,0,0,0
20,19.5,3,1.73205,1.26795,4.73205
