Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,371,19.2614,351.739,390.261
3,2.5,317,17.8045,299.196,334.804
4,3.5,107,10.3441,96.6559,117.344
5,4.5,51,7.14143,43.8586,58.1414
6,5.5,22,4.69042,17.3096,26.6904
7,6.5,12,3.4641,8.5359,15.4641
8,7.5,8,2.82843,5.17157,10.8284
9,8.5,0,0,0,0
10,9.5,5,2.23607,2.76393,7.23607
11,10.5,1,1,0,2
12,11.5,0,0,0,0
13,12.5,0,0,0,0
14,13.5,1,1,0,2
15,14.5,1,1,0,2
16,15.5,0,0,0,0
17,16.5,0,0,0,0
18,17.5,0,0,0,0
19,18.5,0,0,0,0
20,19.5,0,0,0,0
