Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,2549,50.4876,2498.51,2599.49
3,2.5,2565,50.6458,2514.35,2615.65
4,3.5,1685,41.0488,1643.95,1726.05
5,4.5,881,29.6816,851.318,910.682
6,5.5,314,17.72,296.28,331.72
7,6.5,140,11.8322,128.168,151.832
8,7.5,30,5.47723,24.5228,35.4772
9,8.5,8,2.82843,5.17157,10.8284
10,9.5,5,2.23607,2.76393,7.23607
11,10.5,1,1,0,2
12,11.5,0,0,0,0
13,12.5,0,0,0,0
14,13.5,0,0,0,0
15,14.5,0,0,0,0
16,15.5,0,0,0,0
17,16.5,0,0,0,0
18,17.5,0,0,0,0
19,18.5,0,0,0,0
20,19.5,0,0,0,0
