Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,3051,55.2359,2995.76,3106.24
3,2.5,2772,52.6498,2719.35,2824.65
4,3.5,1802,42.45,1759.55,1844.45
5,4.5,830,28.8097,801.19,858.81
6,5.5,345,18.5742,326.426,363.574
7,6.5,111,10.5357,100.464,121.536
8,7.5,40,6.32456,33.6754,46.3246
9,8.5,3,1.73205,1.26795,4.73205
10,9.5,5,2.23607,2.76393,7.23607
11,10.5,2,1.41421,0.585786,3.41421
12,11.5,0,0,0,0
13,12.5,1,1,0,2
14,13.5,0,0,0,0
15,14.5,0,0,0,0
16,15.5,0,0,0,0
17,16.5,0,0,0,0
18,17.5,0,0,0,0
19,18.5,0,0,0,0
20,19.5,0,0,0,0
