Interaction,Muons,Protons,Pions,Kaons
1,2,0,0,0
2,1,0,0,0
3,1,1,0,0
4,2,0,0,2
5,1,0,1,0
6,1,0,0,0
7,2,0,0,0
8,0,0,2,1
9,1,0,0,0
10,1,0,0,0
11,1,1,0,0
12,1,1,0,0
13,1,0,1,0
14,2,0,0,0
15,1,0,0,0
16,1,1,0,0
17,1,0,0,0
18,1,0,0,0
19,1,0,0,0
20,1,1,0,0
21,2,3,0,1
22,1,0,0,0
23,2,1,0,0
24,0,1,1,1
25,2,3,0,0
26,1,0,0,0
27,4,0,0,0
28,2,1,0,0
29,1,2,2,0
30,3,0,0,0
31,1,0,0,0
32,1,0,1,0
33,1,0,0,0
34,1,0,0,0
35,1,2,0,0
36,1,0,0,0
37,1,0,0,0
38,1,0,0,0
39,1,0,0,0
40,1,0,0,0
41,1,0,0,0
42,1,0,1,0
43,0,1,0,1
44,1,0,0,0
45,1,1,0,0
46,1,0,0,0
47,1,0,0,0
48,0,0,1,0
49,1,1,0,0
50,1,1,1,2
51,3,0,0,0
52,1,0,1,1
53,2,0,0,0
54,1,0,0,0
55,3,0,0,0
56,0,0,1,0
57,1,1,0,0
58,3,0,0,0
59,0,1,0,0
60,1,1,1,0
61,0,1,3,1
62,1,0,0,0
63,1,0,0,0
64,1,0,0,0
65,1,1,0,0
66,2,0,1,0
67,1,0,0,0
68,1,0,0,0
69,1,0,1,0
70,1,0,0,0
71,1,0,0,0
72,0,0,1,0
73,1,0,0,0
74,2,0,0,0
75,1,0,0,0
76,1,0,0,0
77,1,0,0,1
78,1,0,0,0
79,1,3,0,0
80,1,0,1,0
81,1,0,0,0
82,1,0,0,0
