Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,2,1.41421,0.585786,3.41421
2,-0.97,3,1.73205,1.26795,4.73205
3,-0.95,2,1.41421,0.585786,3.41421
4,-0.93,0,0,0,0
5,-0.91,3,1.73205,1.26795,4.73205
6,-0.89,1,1,0,2
7,-0.87,0,0,0,0
8,-0.85,0,0,0,0
9,-0.83,0,0,0,0
10,-0.81,2,1.41421,0.585786,3.41421
11,-0.79,1,1,0,2
12,-0.77,0,0,0,0
13,-0.75,1,1,0,2
14,-0.73,1,1,0,2
15,-0.71,0,0,0,0
16,-0.69,1,1,0,2
17,-0.67,1,1,0,2
18,-0.65,1,1,0,2
19,-0.63,3,1.73205,1.26795,4.73205
20,-0.61,0,0,0,0
21,-0.59,1,1,0,2
22,-0.57,2,1.41421,0.585786,3.41421
23,-0.55,1,1,0,2
24,-0.53,2,1.41421,0.585786,3.41421
25,-0.51,3,1.73205,1.26795,4.73205
26,-0.49,1,1,0,2
27,-0.47,1,1,0,2
28,-0.45,2,1.41421,0.585786,3.41421
29,-0.43,0,0,0,0
30,-0.41,2,1.41421,0.585786,3.41421
31,-0.39,0,0,0,0
32,-0.37,1,1,0,2
33,-0.35,1,1,0,2
34,-0.33,4,2,2,6
35,-0.31,3,1.73205,1.26795,4.73205
36,-0.29,1,1,0,2
37,-0.27,2,1.41421,0.585786,3.41421
38,-0.25,0,0,0,0
39,-0.23,1,1,0,2
40,-0.21,2,1.41421,0.585786,3.41421
41,-0.19,2,1.41421,0.585786,3.41421
42,-0.17,3,1.73205,1.26795,4.73205
43,-0.15,2,1.41421,0.585786,3.41421
44,-0.13,2,1.41421,0.585786,3.41421
45,-0.11,3,1.73205,1.26795,4.73205
46,-0.09,1,1,0,2
47,-0.07,1,1,0,2
48,-0.05,0,0,0,0
49,-0.03,2,1.41421,0.585786,3.41421
50,-0.01,0,0,0,0
51,0.01,4,2,2,6
52,0.03,0,0,0,0
53,0.05,3,1.73205,1.26795,4.73205
54,0.07,0,0,0,0
55,0.09,2,1.41421,0.585786,3.41421
56,0.11,2,1.41421,0.585786,3.41421
57,0.13,3,1.73205,1.26795,4.73205
58,0.15,2,1.41421,0.585786,3.41421
59,0.17,5,2.23607,2.76393,7.23607
60,0.19,11,3.31662,7.68338,14.3166
61,0.21,3,1.73205,1.26795,4.73205
62,0.23,3,1.73205,1.26795,4.73205
63,0.25,4,2,2,6
64,0.27,4,2,2,6
65,0.29,1,1,0,2
66,0.31,0,0,0,0
67,0.33,3,1.73205,1.26795,4.73205
68,0.35,7,2.64575,4.35425,9.64575
69,0.37,6,2.44949,3.55051,8.44949
70,0.39,3,1.73205,1.26795,4.73205
71,0.41,6,2.44949,3.55051,8.44949
72,0.43,4,2,2,6
73,0.45,9,3,6,12
74,0.47,7,2.64575,4.35425,9.64575
75,0.49,4,2,2,6
76,0.51,10,3.16228,6.83772,13.1623
77,0.53,8,2.82843,5.17157,10.8284
78,0.55,11,3.31662,7.68338,14.3166
79,0.57,7,2.64575,4.35425,9.64575
80,0.59,11,3.31662,7.68338,14.3166
81,0.61,9,3,6,12
82,0.63,8,2.82843,5.17157,10.8284
83,0.65,8,2.82843,5.17157,10.8284
84,0.67,9,3,6,12
85,0.69,13,3.60555,9.39445,16.6056
86,0.71,15,3.87298,11.127,18.873
87,0.73,9,3,6,12
88,0.75,20,4.47214,15.5279,24.4721
89,0.77,15,3.87298,11.127,18.873
90,0.79,11,3.31662,7.68338,14.3166
91,0.81,21,4.58258,16.4174,25.5826
92,0.83,21,4.58258,16.4174,25.5826
93,0.85,25,5,20,30
94,0.87,30,5.47723,24.5228,35.4772
95,0.89,39,6.245,32.755,45.245
96,0.91,38,6.16441,31.8356,44.1644
97,0.93,58,7.61577,50.3842,65.6158
98,0.95,90,9.48683,80.5132,99.4868
99,0.97,132,11.4891,120.511,143.489
100,0.99,190,13.784,176.216,203.784
