Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,16,4,12,20
2,-0.97,15,3.87298,11.127,18.873
3,-0.95,11,3.31662,7.68338,14.3166
4,-0.93,4,2,2,6
5,-0.91,9,3,6,12
6,-0.89,6,2.44949,3.55051,8.44949
7,-0.87,11,3.31662,7.68338,14.3166
8,-0.85,5,2.23607,2.76393,7.23607
9,-0.83,9,3,6,12
10,-0.81,2,1.41421,0.585786,3.41421
11,-0.79,4,2,2,6
12,-0.77,4,2,2,6
13,-0.75,6,2.44949,3.55051,8.44949
14,-0.73,4,2,2,6
15,-0.71,3,1.73205,1.26795,4.73205
16,-0.69,8,2.82843,5.17157,10.8284
17,-0.67,7,2.64575,4.35425,9.64575
18,-0.65,3,1.73205,1.26795,4.73205
19,-0.63,10,3.16228,6.83772,13.1623
20,-0.61,6,2.44949,3.55051,8.44949
21,-0.59,8,2.82843,5.17157,10.8284
22,-0.57,6,2.44949,3.55051,8.44949
23,-0.55,8,2.82843,5.17157,10.8284
24,-0.53,3,1.73205,1.26795,4.73205
25,-0.51,7,2.64575,4.35425,9.64575
26,-0.49,7,2.64575,4.35425,9.64575
27,-0.47,8,2.82843,5.17157,10.8284
28,-0.45,7,2.64575,4.35425,9.64575
29,-0.43,4,2,2,6
30,-0.41,7,2.64575,4.35425,9.64575
31,-0.39,6,2.44949,3.55051,8.44949
32,-0.37,11,3.31662,7.68338,14.3166
33,-0.35,11,3.31662,7.68338,14.3166
34,-0.33,5,2.23607,2.76393,7.23607
35,-0.31,10,3.16228,6.83772,13.1623
36,-0.29,5,2.23607,2.76393,7.23607
37,-0.27,6,2.44949,3.55051,8.44949
38,-0.25,7,2.64575,4.35425,9.64575
39,-0.23,7,2.64575,4.35425,9.64575
40,-0.21,6,2.44949,3.55051,8.44949
41,-0.19,5,2.23607,2.76393,7.23607
42,-0.17,10,3.16228,6.83772,13.1623
43,-0.15,9,3,6,12
44,-0.13,7,2.64575,4.35425,9.64575
45,-0.11,8,2.82843,5.17157,10.8284
46,-0.09,8,2.82843,5.17157,10.8284
47,-0.07,5,2.23607,2.76393,7.23607
48,-0.05,8,2.82843,5.17157,10.8284
49,-0.03,9,3,6,12
50,-0.01,1,1,0,2
51,0.01,24,4.89898,19.101,28.899
52,0.03,14,3.74166,10.2583,17.7417
53,0.05,10,3.16228,6.83772,13.1623
54,0.07,11,3.31662,7.68338,14.3166
55,0.09,14,3.74166,10.2583,17.7417
56,0.11,7,2.64575,4.35425,9.64575
57,0.13,16,4,12,20
58,0.15,25,5,20,30
59,0.17,13,3.60555,9.39445,16.6056
60,0.19,16,4,12,20
61,0.21,20,4.47214,15.5279,24.4721
62,0.23,8,2.82843,5.17157,10.8284
63,0.25,17,4.12311,12.8769,21.1231
64,0.27,19,4.3589,14.6411,23.3589
65,0.29,17,4.12311,12.8769,21.1231
66,0.31,25,5,20,30
67,0.33,26,5.09902,20.901,31.099
68,0.35,24,4.89898,19.101,28.899
69,0.37,28,5.2915,22.7085,33.2915
70,0.39,30,5.47723,24.5228,35.4772
71,0.41,30,5.47723,24.5228,35.4772
72,0.43,18,4.24264,13.7574,22.2426
73,0.45,23,4.79583,18.2042,27.7958
74,0.47,30,5.47723,24.5228,35.4772
75,0.49,40,6.32456,33.6754,46.3246
76,0.51,37,6.08276,30.9172,43.0828
77,0.53,38,6.16441,31.8356,44.1644
78,0.55,39,6.245,32.755,45.245
79,0.57,40,6.32456,33.6754,46.3246
80,0.59,43,6.55744,36.4426,49.5574
81,0.61,46,6.78233,39.2177,52.7823
82,0.63,53,7.28011,45.7199,60.2801
83,0.65,50,7.07107,42.9289,57.0711
84,0.67,57,7.54983,49.4502,64.5498
85,0.69,51,7.14143,43.8586,58.1414
86,0.71,76,8.7178,67.2822,84.7178
87,0.73,64,8,56,72
88,0.75,65,8.06226,56.9377,73.0623
89,0.77,101,10.0499,90.9501,111.05
90,0.79,106,10.2956,95.7044,116.296
91,0.81,114,10.6771,103.323,124.677
92,0.83,143,11.9583,131.042,154.958
93,0.85,158,12.5698,145.43,170.57
94,0.87,198,14.0712,183.929,212.071
95,0.89,246,15.6844,230.316,261.684
96,0.91,293,17.1172,275.883,310.117
97,0.93,486,22.0454,463.955,508.045
98,0.95,846,29.0861,816.914,875.086
99,0.97,1873,43.2782,1829.72,1916.28
100,0.99,6486,80.5357,6405.46,6566.54
