Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,7,2.64575,4.35425,9.64575
2,-0.97,5,2.23607,2.76393,7.23607
3,-0.95,1,1,0,2
4,-0.93,1,1,0,2
5,-0.91,8,2.82843,5.17157,10.8284
6,-0.89,1,1,0,2
7,-0.87,4,2,2,6
8,-0.85,5,2.23607,2.76393,7.23607
9,-0.83,5,2.23607,2.76393,7.23607
10,-0.81,5,2.23607,2.76393,7.23607
11,-0.79,6,2.44949,3.55051,8.44949
12,-0.77,9,3,6,12
13,-0.75,5,2.23607,2.76393,7.23607
14,-0.73,4,2,2,6
15,-0.71,10,3.16228,6.83772,13.1623
16,-0.69,4,2,2,6
17,-0.67,5,2.23607,2.76393,7.23607
18,-0.65,8,2.82843,5.17157,10.8284
19,-0.63,10,3.16228,6.83772,13.1623
20,-0.61,4,2,2,6
21,-0.59,4,2,2,6
22,-0.57,6,2.44949,3.55051,8.44949
23,-0.55,2,1.41421,0.585786,3.41421
24,-0.53,14,3.74166,10.2583,17.7417
25,-0.51,8,2.82843,5.17157,10.8284
26,-0.49,6,2.44949,3.55051,8.44949
27,-0.47,5,2.23607,2.76393,7.23607
28,-0.45,9,3,6,12
29,-0.43,13,3.60555,9.39445,16.6056
30,-0.41,4,2,2,6
31,-0.39,3,1.73205,1.26795,4.73205
32,-0.37,10,3.16228,6.83772,13.1623
33,-0.35,5,2.23607,2.76393,7.23607
34,-0.33,3,1.73205,1.26795,4.73205
35,-0.31,9,3,6,12
36,-0.29,13,3.60555,9.39445,16.6056
37,-0.27,6,2.44949,3.55051,8.44949
38,-0.25,9,3,6,12
39,-0.23,7,2.64575,4.35425,9.64575
40,-0.21,14,3.74166,10.2583,17.7417
41,-0.19,7,2.64575,4.35425,9.64575
42,-0.17,11,3.31662,7.68338,14.3166
43,-0.15,9,3,6,12
44,-0.13,9,3,6,12
45,-0.11,9,3,6,12
46,-0.09,11,3.31662,7.68338,14.3166
47,-0.07,18,4.24264,13.7574,22.2426
48,-0.05,10,3.16228,6.83772,13.1623
49,-0.03,4,2,2,6
50,-0.01,3,1.73205,1.26795,4.73205
51,0.01,17,4.12311,12.8769,21.1231
52,0.03,4,2,2,6
53,0.05,7,2.64575,4.35425,9.64575
54,0.07,14,3.74166,10.2583,17.7417
55,0.09,13,3.60555,9.39445,16.6056
56,0.11,6,2.44949,3.55051,8.44949
57,0.13,10,3.16228,6.83772,13.1623
58,0.15,5,2.23607,2.76393,7.23607
59,0.17,10,3.16228,6.83772,13.1623
60,0.19,8,2.82843,5.17157,10.8284
61,0.21,10,3.16228,6.83772,13.1623
62,0.23,8,2.82843,5.17157,10.8284
63,0.25,4,2,2,6
64,0.27,13,3.60555,9.39445,16.6056
65,0.29,9,3,6,12
66,0.31,15,3.87298,11.127,18.873
67,0.33,11,3.31662,7.68338,14.3166
68,0.35,12,3.4641,8.5359,15.4641
69,0.37,10,3.16228,6.83772,13.1623
70,0.39,19,4.3589,14.6411,23.3589
71,0.41,12,3.4641,8.5359,15.4641
72,0.43,17,4.12311,12.8769,21.1231
73,0.45,18,4.24264,13.7574,22.2426
74,0.47,14,3.74166,10.2583,17.7417
75,0.49,12,3.4641,8.5359,15.4641
76,0.51,27,5.19615,21.8038,32.1962
77,0.53,16,4,12,20
78,0.55,16,4,12,20
79,0.57,15,3.87298,11.127,18.873
80,0.59,21,4.58258,16.4174,25.5826
81,0.61,28,5.2915,22.7085,33.2915
82,0.63,25,5,20,30
83,0.65,28,5.2915,22.7085,33.2915
84,0.67,23,4.79583,18.2042,27.7958
85,0.69,29,5.38516,23.6148,34.3852
86,0.71,22,4.69042,17.3096,26.6904
87,0.73,24,4.89898,19.101,28.899
88,0.75,35,5.91608,29.0839,40.9161
89,0.77,35,5.91608,29.0839,40.9161
90,0.79,41,6.40312,34.5969,47.4031
91,0.81,44,6.63325,37.3668,50.6332
92,0.83,39,6.245,32.755,45.245
93,0.85,51,7.14143,43.8586,58.1414
94,0.87,72,8.48528,63.5147,80.4853
95,0.89,71,8.42615,62.5739,79.4261
96,0.91,85,9.21954,75.7805,94.2195
97,0.93,120,10.9545,109.046,130.954
98,0.95,125,11.1803,113.82,136.18
99,0.97,237,15.3948,221.605,252.395
100,0.99,381,19.5192,361.481,400.519
