Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,9,3,6,12
2,-0.97,17,4.12311,12.8769,21.1231
3,-0.95,7,2.64575,4.35425,9.64575
4,-0.93,12,3.4641,8.5359,15.4641
5,-0.91,15,3.87298,11.127,18.873
6,-0.89,15,3.87298,11.127,18.873
7,-0.87,13,3.60555,9.39445,16.6056
8,-0.85,20,4.47214,15.5279,24.4721
9,-0.83,7,2.64575,4.35425,9.64575
10,-0.81,11,3.31662,7.68338,14.3166
11,-0.79,9,3,6,12
12,-0.77,21,4.58258,16.4174,25.5826
13,-0.75,16,4,12,20
14,-0.73,8,2.82843,5.17157,10.8284
15,-0.71,15,3.87298,11.127,18.873
16,-0.69,11,3.31662,7.68338,14.3166
17,-0.67,6,2.44949,3.55051,8.44949
18,-0.65,8,2.82843,5.17157,10.8284
19,-0.63,21,4.58258,16.4174,25.5826
20,-0.61,14,3.74166,10.2583,17.7417
21,-0.59,18,4.24264,13.7574,22.2426
22,-0.57,11,3.31662,7.68338,14.3166
23,-0.55,10,3.16228,6.83772,13.1623
24,-0.53,17,4.12311,12.8769,21.1231
25,-0.51,20,4.47214,15.5279,24.4721
26,-0.49,13,3.60555,9.39445,16.6056
27,-0.47,12,3.4641,8.5359,15.4641
28,-0.45,14,3.74166,10.2583,17.7417
29,-0.43,20,4.47214,15.5279,24.4721
30,-0.41,18,4.24264,13.7574,22.2426
31,-0.39,21,4.58258,16.4174,25.5826
32,-0.37,23,4.79583,18.2042,27.7958
33,-0.35,16,4,12,20
34,-0.33,16,4,12,20
35,-0.31,28,5.2915,22.7085,33.2915
36,-0.29,6,2.44949,3.55051,8.44949
37,-0.27,15,3.87298,11.127,18.873
38,-0.25,9,3,6,12
39,-0.23,13,3.60555,9.39445,16.6056
40,-0.21,24,4.89898,19.101,28.899
41,-0.19,37,6.08276,30.9172,43.0828
42,-0.17,15,3.87298,11.127,18.873
43,-0.15,26,5.09902,20.901,31.099
44,-0.13,18,4.24264,13.7574,22.2426
45,-0.11,16,4,12,20
46,-0.09,13,3.60555,9.39445,16.6056
47,-0.07,12,3.4641,8.5359,15.4641
48,-0.05,11,3.31662,7.68338,14.3166
49,-0.03,9,3,6,12
50,-0.01,6,2.44949,3.55051,8.44949
51,0.01,68,8.24621,59.7538,76.2462
52,0.03,12,3.4641,8.5359,15.4641
53,0.05,24,4.89898,19.101,28.899
54,0.07,19,4.3589,14.6411,23.3589
55,0.09,30,5.47723,24.5228,35.4772
56,0.11,28,5.2915,22.7085,33.2915
57,0.13,29,5.38516,23.6148,34.3852
58,0.15,27,5.19615,21.8038,32.1962
59,0.17,33,5.74456,27.2554,38.7446
60,0.19,51,7.14143,43.8586,58.1414
61,0.21,37,6.08276,30.9172,43.0828
62,0.23,33,5.74456,27.2554,38.7446
63,0.25,30,5.47723,24.5228,35.4772
64,0.27,34,5.83095,28.169,39.831
65,0.29,33,5.74456,27.2554,38.7446
66,0.31,40,6.32456,33.6754,46.3246
67,0.33,40,6.32456,33.6754,46.3246
68,0.35,37,6.08276,30.9172,43.0828
69,0.37,48,6.9282,41.0718,54.9282
70,0.39,33,5.74456,27.2554,38.7446
71,0.41,43,6.55744,36.4426,49.5574
72,0.43,50,7.07107,42.9289,57.0711
73,0.45,43,6.55744,36.4426,49.5574
74,0.47,39,6.245,32.755,45.245
75,0.49,55,7.4162,47.5838,62.4162
76,0.51,62,7.87401,54.126,69.874
77,0.53,48,6.9282,41.0718,54.9282
78,0.55,52,7.2111,44.7889,59.2111
79,0.57,55,7.4162,47.5838,62.4162
80,0.59,75,8.66025,66.3397,83.6603
81,0.61,52,7.2111,44.7889,59.2111
82,0.63,47,6.85565,40.1443,53.8557
83,0.65,61,7.81025,53.1898,68.8102
84,0.67,68,8.24621,59.7538,76.2462
85,0.69,66,8.12404,57.876,74.124
86,0.71,82,9.05539,72.9446,91.0554
87,0.73,63,7.93725,55.0627,70.9373
88,0.75,106,10.2956,95.7044,116.296
89,0.77,105,10.247,94.753,115.247
90,0.79,98,9.89949,88.1005,107.899
91,0.81,107,10.3441,96.6559,117.344
92,0.83,110,10.4881,99.5119,120.488
93,0.85,128,11.3137,116.686,139.314
94,0.87,141,11.8743,129.126,152.874
95,0.89,133,11.5326,121.467,144.533
96,0.91,166,12.8841,153.116,178.884
97,0.93,181,13.4536,167.546,194.454
98,0.95,201,14.1774,186.823,215.177
99,0.97,250,15.8114,234.189,265.811
100,0.99,331,18.1934,312.807,349.193
