Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,34,5.83095,28.169,39.831
3,0.05,90,9.48683,80.5132,99.4868
4,0.07,68,8.24621,59.7538,76.2462
5,0.09,71,8.42615,62.5739,79.4261
6,0.11,72,8.48528,63.5147,80.4853
7,0.13,60,7.74597,52.254,67.746
8,0.15,69,8.30662,60.6934,77.3066
9,0.17,73,8.544,64.456,81.544
10,0.19,64,8,56,72
11,0.21,54,7.34847,46.6515,61.3485
12,0.23,33,5.74456,27.2554,38.7446
13,0.25,37,6.08276,30.9172,43.0828
14,0.27,37,6.08276,30.9172,43.0828
15,0.29,32,5.65685,26.3431,37.6569
16,0.31,30,5.47723,24.5228,35.4772
17,0.33,17,4.12311,12.8769,21.1231
18,0.35,15,3.87298,11.127,18.873
19,0.37,14,3.74166,10.2583,17.7417
20,0.39,10,3.16228,6.83772,13.1623
21,0.41,5,2.23607,2.76393,7.23607
22,0.43,5,2.23607,2.76393,7.23607
23,0.45,3,1.73205,1.26795,4.73205
24,0.47,2,1.41421,0.585786,3.41421
25,0.49,2,1.41421,0.585786,3.41421
26,0.51,0,0,0,0
27,0.53,1,1,0,2
28,0.55,0,0,0,0
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,0,0,0,0
32,0.63,1,1,0,2
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,1,1,0,2
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,1,1,0,2
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,1,1,0,2
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,0,0,0,0
