Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,39,6.245,32.755,45.245
2,0.03,201,14.1774,186.823,215.177
3,0.05,278,16.6733,261.327,294.673
4,0.07,354,18.8149,335.185,372.815
5,0.09,525,22.9129,502.087,547.913
6,0.11,707,26.5895,680.411,733.589
7,0.13,874,29.5635,844.437,903.563
8,0.15,947,30.7734,916.227,977.773
9,0.17,798,28.2489,769.751,826.249
10,0.19,693,26.3249,666.675,719.325
11,0.21,847,29.1033,817.897,876.103
12,0.23,872,29.5296,842.47,901.53
13,0.25,905,30.0832,874.917,935.083
14,0.27,828,28.775,799.225,856.775
15,0.29,808,28.4253,779.575,836.425
16,0.31,553,23.516,529.484,576.516
17,0.33,351,18.735,332.265,369.735
18,0.35,213,14.5945,198.405,227.595
19,0.37,137,11.7047,125.295,148.705
20,0.39,128,11.3137,116.686,139.314
21,0.41,97,9.84886,87.1511,106.849
22,0.43,73,8.544,64.456,81.544
23,0.45,47,6.85565,40.1443,53.8557
24,0.47,50,7.07107,42.9289,57.0711
25,0.49,47,6.85565,40.1443,53.8557
26,0.51,28,5.2915,22.7085,33.2915
27,0.53,25,5,20,30
28,0.55,14,3.74166,10.2583,17.7417
29,0.57,20,4.47214,15.5279,24.4721
30,0.59,18,4.24264,13.7574,22.2426
31,0.61,20,4.47214,15.5279,24.4721
32,0.63,23,4.79583,18.2042,27.7958
33,0.65,10,3.16228,6.83772,13.1623
34,0.67,12,3.4641,8.5359,15.4641
35,0.69,11,3.31662,7.68338,14.3166
36,0.71,8,2.82843,5.17157,10.8284
37,0.73,7,2.64575,4.35425,9.64575
38,0.75,8,2.82843,5.17157,10.8284
39,0.77,6,2.44949,3.55051,8.44949
40,0.79,4,2,2,6
41,0.81,7,2.64575,4.35425,9.64575
42,0.83,4,2,2,6
43,0.85,6,2.44949,3.55051,8.44949
44,0.87,2,1.41421,0.585786,3.41421
45,0.89,5,2.23607,2.76393,7.23607
46,0.91,1,1,0,2
47,0.93,3,1.73205,1.26795,4.73205
48,0.95,5,2.23607,2.76393,7.23607
49,0.97,2,1.41421,0.585786,3.41421
50,0.99,3,1.73205,1.26795,4.73205
