Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,306,17.4929,288.507,323.493
3,0.05,320,17.8885,302.111,337.889
4,0.07,266,16.3095,249.69,282.31
5,0.09,241,15.5242,225.476,256.524
6,0.11,205,14.3178,190.682,219.318
7,0.13,186,13.6382,172.362,199.638
8,0.15,164,12.8062,151.194,176.806
9,0.17,118,10.8628,107.137,128.863
10,0.19,92,9.59166,82.4083,101.592
11,0.21,65,8.06226,56.9377,73.0623
12,0.23,42,6.48074,35.5193,48.4807
13,0.25,39,6.245,32.755,45.245
14,0.27,28,5.2915,22.7085,33.2915
15,0.29,20,4.47214,15.5279,24.4721
16,0.31,19,4.3589,14.6411,23.3589
17,0.33,14,3.74166,10.2583,17.7417
18,0.35,7,2.64575,4.35425,9.64575
19,0.37,3,1.73205,1.26795,4.73205
20,0.39,2,1.41421,0.585786,3.41421
21,0.41,4,2,2,6
22,0.43,4,2,2,6
23,0.45,3,1.73205,1.26795,4.73205
24,0.47,3,1.73205,1.26795,4.73205
25,0.49,3,1.73205,1.26795,4.73205
26,0.51,1,1,0,2
27,0.53,3,1.73205,1.26795,4.73205
28,0.55,0,0,0,0
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,1,1,0,2
32,0.63,0,0,0,0
33,0.65,0,0,0,0
34,0.67,0,0,0,0
35,0.69,0,0,0,0
36,0.71,0,0,0,0
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,0,0,0,0
40,0.79,0,0,0,0
41,0.81,0,0,0,0
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,0,0,0,0
48,0.95,0,0,0,0
49,0.97,0,0,0,0
50,0.99,1,1,0,2
