Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.01,0,0,0,0
2,0.03,0,0,0,0
3,0.05,484,22,462,506
4,0.07,520,22.8035,497.196,542.804
5,0.09,394,19.8494,374.151,413.849
6,0.11,378,19.4422,358.558,397.442
7,0.13,424,20.5913,403.409,444.591
8,0.15,321,17.9165,303.084,338.916
9,0.17,288,16.9706,271.029,304.971
10,0.19,243,15.5885,227.412,258.588
11,0.21,213,14.5945,198.405,227.595
12,0.23,184,13.5647,170.435,197.565
13,0.25,151,12.2882,138.712,163.288
14,0.27,120,10.9545,109.046,130.954
15,0.29,115,10.7238,104.276,125.724
16,0.31,76,8.7178,67.2822,84.7178
17,0.33,76,8.7178,67.2822,84.7178
18,0.35,70,8.3666,61.6334,78.3666
19,0.37,51,7.14143,43.8586,58.1414
20,0.39,38,6.16441,31.8356,44.1644
21,0.41,45,6.7082,38.2918,51.7082
22,0.43,26,5.09902,20.901,31.099
23,0.45,24,4.89898,19.101,28.899
24,0.47,23,4.79583,18.2042,27.7958
25,0.49,15,3.87298,11.127,18.873
26,0.51,11,3.31662,7.68338,14.3166
27,0.53,1,1,0,2
28,0.55,2,1.41421,0.585786,3.41421
29,0.57,0,0,0,0
30,0.59,0,0,0,0
31,0.61,1,1,0,2
32,0.63,0,0,0,0
33,0.65,2,1.41421,0.585786,3.41421
34,0.67,1,1,0,2
35,0.69,0,0,0,0
36,0.71,1,1,0,2
37,0.73,0,0,0,0
38,0.75,0,0,0,0
39,0.77,1,1,0,2
40,0.79,0,0,0,0
41,0.81,1,1,0,2
42,0.83,0,0,0,0
43,0.85,0,0,0,0
44,0.87,0,0,0,0
45,0.89,0,0,0,0
46,0.91,0,0,0,0
47,0.93,1,1,0,2
48,0.95,0,0,0,0
49,0.97,2,1.41421,0.585786,3.41421
50,0.99,0,0,0,0
