Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,99,9.94987,89.0501,108.95
3,5,54,7.34847,46.6515,61.3485
4,7,44,6.63325,37.3668,50.6332
5,9,55,7.4162,47.5838,62.4162
6,11,46,6.78233,39.2177,52.7823
7,13,42,6.48074,35.5193,48.4807
8,15,33,5.74456,27.2554,38.7446
9,17,32,5.65685,26.3431,37.6569
10,19,34,5.83095,28.169,39.831
11,21,26,5.09902,20.901,31.099
12,23,39,6.245,32.755,45.245
13,25,36,6,30,42
14,27,24,4.89898,19.101,28.899
15,29,24,4.89898,19.101,28.899
16,31,31,5.56776,25.4322,36.5678
17,33,21,4.58258,16.4174,25.5826
18,35,18,4.24264,13.7574,22.2426
19,37,27,5.19615,21.8038,32.1962
20,39,11,3.31662,7.68338,14.3166
21,41,17,4.12311,12.8769,21.1231
22,43,20,4.47214,15.5279,24.4721
23,45,20,4.47214,15.5279,24.4721
24,47,9,3,6,12
25,49,16,4,12,20
26,51,10,3.16228,6.83772,13.1623
27,53,6,2.44949,3.55051,8.44949
28,55,15,3.87298,11.127,18.873
29,57,8,2.82843,5.17157,10.8284
30,59,12,3.4641,8.5359,15.4641
31,61,12,3.4641,8.5359,15.4641
32,63,5,2.23607,2.76393,7.23607
33,65,10,3.16228,6.83772,13.1623
34,67,6,2.44949,3.55051,8.44949
35,69,0,0,0,0
36,71,12,3.4641,8.5359,15.4641
37,73,6,2.44949,3.55051,8.44949
38,75,6,2.44949,3.55051,8.44949
39,77,10,3.16228,6.83772,13.1623
40,79,12,3.4641,8.5359,15.4641
41,81,6,2.44949,3.55051,8.44949
42,83,4,2,2,6
43,85,6,2.44949,3.55051,8.44949
44,87,9,3,6,12
45,89,3,1.73205,1.26795,4.73205
46,91,1,1,0,2
47,93,2,1.41421,0.585786,3.41421
48,95,5,2.23607,2.76393,7.23607
49,97,5,2.23607,2.76393,7.23607
50,99,1,1,0,2
