Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,1,1,0,2
3,5,0,0,0,0
4,7,1,1,0,2
5,9,0,0,0,0
6,11,1,1,0,2
7,13,0,0,0,0
8,15,1,1,0,2
9,17,1,1,0,2
10,19,1,1,0,2
11,21,0,0,0,0
12,23,1,1,0,2
13,25,0,0,0,0
14,27,0,0,0,0
15,29,0,0,0,0
16,31,1,1,0,2
17,33,0,0,0,0
18,35,0,0,0,0
19,37,0,0,0,0
20,39,0,0,0,0
21,41,1,1,0,2
22,43,0,0,0,0
23,45,1,1,0,2
24,47,0,0,0,0
25,49,0,0,0,0
26,51,0,0,0,0
27,53,0,0,0,0
28,55,0,0,0,0
29,57,0,0,0,0
30,59,0,0,0,0
31,61,0,0,0,0
32,63,0,0,0,0
33,65,0,0,0,0
34,67,0,0,0,0
35,69,0,0,0,0
36,71,0,0,0,0
37,73,0,0,0,0
38,75,0,0,0,0
39,77,0,0,0,0
40,79,0,0,0,0
41,81,0,0,0,0
42,83,0,0,0,0
43,85,0,0,0,0
44,87,0,0,0,0
45,89,0,0,0,0
46,91,0,0,0,0
47,93,0,0,0,0
48,95,1,1,0,2
49,97,0,0,0,0
50,99,0,0,0,0
