Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,158,12.5698,145.43,170.57
3,5,113,10.6301,102.37,123.63
4,7,169,13,156,182
5,9,231,15.1987,215.801,246.199
6,11,266,16.3095,249.69,282.31
7,13,279,16.7033,262.297,295.703
8,15,305,17.4642,287.536,322.464
9,17,299,17.2916,281.708,316.292
10,19,278,16.6733,261.327,294.673
11,21,316,17.7764,298.224,333.776
12,23,284,16.8523,267.148,300.852
13,25,269,16.4012,252.599,285.401
14,27,261,16.1555,244.845,277.155
15,29,285,16.8819,268.118,301.882
16,31,268,16.3707,251.629,284.371
17,33,301,17.3494,283.651,318.349
18,35,314,17.72,296.28,331.72
19,37,298,17.2627,280.737,315.263
20,39,247,15.7162,231.284,262.716
21,41,277,16.6433,260.357,293.643
22,43,247,15.7162,231.284,262.716
23,45,282,16.7929,265.207,298.793
24,47,272,16.4924,255.508,288.492
25,49,244,15.6205,228.38,259.62
26,51,263,16.2173,246.783,279.217
27,53,228,15.0997,212.9,243.1
28,55,226,15.0333,210.967,241.033
29,57,209,14.4568,194.543,223.457
30,59,215,14.6629,200.337,229.663
31,61,81,9,72,90
32,63,59,7.68115,51.3189,66.6811
33,65,45,6.7082,38.2918,51.7082
34,67,38,6.16441,31.8356,44.1644
35,69,34,5.83095,28.169,39.831
36,71,148,12.1655,135.834,160.166
37,73,167,12.9228,154.077,179.923
38,75,156,12.49,143.51,168.49
39,77,186,13.6382,172.362,199.638
40,79,176,13.2665,162.734,189.266
41,81,181,13.4536,167.546,194.454
42,83,173,13.1529,159.847,186.153
43,85,206,14.3527,191.647,220.353
44,87,199,14.1067,184.893,213.107
45,89,185,13.6015,171.399,198.601
46,91,197,14.0357,182.964,211.036
47,93,181,13.4536,167.546,194.454
48,95,172,13.1149,158.885,185.115
49,97,188,13.7113,174.289,201.711
50,99,178,13.3417,164.658,191.342
