Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,4,2,2,6
3,5,3,1.73205,1.26795,4.73205
4,7,2,1.41421,0.585786,3.41421
5,9,1,1,0,2
6,11,5,2.23607,2.76393,7.23607
7,13,2,1.41421,0.585786,3.41421
8,15,3,1.73205,1.26795,4.73205
9,17,3,1.73205,1.26795,4.73205
10,19,4,2,2,6
11,21,3,1.73205,1.26795,4.73205
12,23,1,1,0,2
13,25,1,1,0,2
14,27,3,1.73205,1.26795,4.73205
15,29,2,1.41421,0.585786,3.41421
16,31,4,2,2,6
17,33,2,1.41421,0.585786,3.41421
18,35,1,1,0,2
19,37,3,1.73205,1.26795,4.73205
20,39,2,1.41421,0.585786,3.41421
21,41,1,1,0,2
22,43,3,1.73205,1.26795,4.73205
23,45,1,1,0,2
24,47,5,2.23607,2.76393,7.23607
25,49,2,1.41421,0.585786,3.41421
26,51,1,1,0,2
27,53,1,1,0,2
28,55,1,1,0,2
29,57,0,0,0,0
30,59,3,1.73205,1.26795,4.73205
31,61,0,0,0,0
32,63,0,0,0,0
33,65,1,1,0,2
34,67,0,0,0,0
35,69,1,1,0,2
36,71,0,0,0,0
37,73,2,1.41421,0.585786,3.41421
38,75,2,1.41421,0.585786,3.41421
39,77,0,0,0,0
40,79,0,0,0,0
41,81,5,2.23607,2.76393,7.23607
42,83,2,1.41421,0.585786,3.41421
43,85,1,1,0,2
44,87,2,1.41421,0.585786,3.41421
45,89,1,1,0,2
46,91,0,0,0,0
47,93,0,0,0,0
48,95,1,1,0,2
49,97,2,1.41421,0.585786,3.41421
50,99,2,1.41421,0.585786,3.41421
