Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,163,12.7671,150.233,175.767
3,5,139,11.7898,127.21,150.79
4,7,129,11.3578,117.642,140.358
5,9,118,10.8628,107.137,128.863
6,11,120,10.9545,109.046,130.954
7,13,109,10.4403,98.5597,119.44
8,15,90,9.48683,80.5132,99.4868
9,17,80,8.94427,71.0557,88.9443
10,19,85,9.21954,75.7805,94.2195
11,21,82,9.05539,72.9446,91.0554
12,23,67,8.18535,58.8146,75.1854
13,25,92,9.59166,82.4083,101.592
14,27,62,7.87401,54.126,69.874
15,29,79,8.88819,70.1118,87.8882
16,31,54,7.34847,46.6515,61.3485
17,33,45,6.7082,38.2918,51.7082
18,35,45,6.7082,38.2918,51.7082
19,37,58,7.61577,50.3842,65.6158
20,39,53,7.28011,45.7199,60.2801
21,41,46,6.78233,39.2177,52.7823
22,43,32,5.65685,26.3431,37.6569
23,45,39,6.245,32.755,45.245
24,47,41,6.40312,34.5969,47.4031
25,49,34,5.83095,28.169,39.831
26,51,28,5.2915,22.7085,33.2915
27,53,36,6,30,42
28,55,20,4.47214,15.5279,24.4721
29,57,21,4.58258,16.4174,25.5826
30,59,24,4.89898,19.101,28.899
31,61,16,4,12,20
32,63,13,3.60555,9.39445,16.6056
33,65,14,3.74166,10.2583,17.7417
34,67,23,4.79583,18.2042,27.7958
35,69,7,2.64575,4.35425,9.64575
36,71,12,3.4641,8.5359,15.4641
37,73,6,2.44949,3.55051,8.44949
38,75,12,3.4641,8.5359,15.4641
39,77,16,4,12,20
40,79,17,4.12311,12.8769,21.1231
41,81,6,2.44949,3.55051,8.44949
42,83,7,2.64575,4.35425,9.64575
43,85,8,2.82843,5.17157,10.8284
44,87,7,2.64575,4.35425,9.64575
45,89,4,2,2,6
46,91,8,2.82843,5.17157,10.8284
47,93,8,2.82843,5.17157,10.8284
48,95,3,1.73205,1.26795,4.73205
49,97,9,3,6,12
50,99,6,2.44949,3.55051,8.44949
