Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,746,27.313,718.687,773.313
3,5,397,19.9249,377.075,416.925
4,7,328,18.1108,309.889,346.111
5,9,289,17,272,306
6,11,278,16.6733,261.327,294.673
7,13,210,14.4914,195.509,224.491
8,15,200,14.1421,185.858,214.142
9,17,179,13.3791,165.621,192.379
10,19,176,13.2665,162.734,189.266
11,21,137,11.7047,125.295,148.705
12,23,141,11.8743,129.126,152.874
13,25,115,10.7238,104.276,125.724
14,27,109,10.4403,98.5597,119.44
15,29,83,9.11043,73.8896,92.1104
16,31,73,8.544,64.456,81.544
17,33,81,9,72,90
18,35,80,8.94427,71.0557,88.9443
19,37,64,8,56,72
20,39,62,7.87401,54.126,69.874
21,41,51,7.14143,43.8586,58.1414
22,43,45,6.7082,38.2918,51.7082
23,45,38,6.16441,31.8356,44.1644
24,47,49,7,42,56
25,49,37,6.08276,30.9172,43.0828
26,51,29,5.38516,23.6148,34.3852
27,53,32,5.65685,26.3431,37.6569
28,55,34,5.83095,28.169,39.831
29,57,27,5.19615,21.8038,32.1962
30,59,26,5.09902,20.901,31.099
31,61,26,5.09902,20.901,31.099
32,63,26,5.09902,20.901,31.099
33,65,23,4.79583,18.2042,27.7958
34,67,19,4.3589,14.6411,23.3589
35,69,18,4.24264,13.7574,22.2426
36,71,14,3.74166,10.2583,17.7417
37,73,17,4.12311,12.8769,21.1231
38,75,15,3.87298,11.127,18.873
39,77,12,3.4641,8.5359,15.4641
40,79,8,2.82843,5.17157,10.8284
41,81,9,3,6,12
42,83,17,4.12311,12.8769,21.1231
43,85,14,3.74166,10.2583,17.7417
44,87,8,2.82843,5.17157,10.8284
45,89,9,3,6,12
46,91,8,2.82843,5.17157,10.8284
47,93,7,2.64575,4.35425,9.64575
48,95,7,2.64575,4.35425,9.64575
49,97,6,2.44949,3.55051,8.44949
50,99,9,3,6,12
