Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,1208,34.7563,1173.24,1242.76
3,2.5,1192,34.5254,1157.47,1226.53
4,3.5,442,21.0238,420.976,463.024
5,4.5,222,14.8997,207.1,236.9
6,5.5,123,11.0905,111.909,134.091
7,6.5,62,7.87401,54.126,69.874
8,7.5,30,5.47723,24.5228,35.4772
9,8.5,13,3.60555,9.39445,16.6056
10,9.5,14,3.74166,10.2583,17.7417
11,10.5,11,3.31662,7.68338,14.3166
12,11.5,5,2.23607,2.76393,7.23607
13,12.5,6,2.44949,3.55051,8.44949
14,13.5,2,1.41421,0.585786,3.41421
15,14.5,3,1.73205,1.26795,4.73205
16,15.5,4,2,2,6
17,16.5,2,1.41421,0.585786,3.41421
18,17.5,0,0,0,0
19,18.5,3,1.73205,1.26795,4.73205
20,19.5,4,2,2,6
