Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,0.5,0,0,0,0
2,1.5,3141,56.0446,3084.96,3197.04
3,2.5,2779,52.7162,2726.28,2831.72
4,3.5,1785,42.2493,1742.75,1827.25
5,4.5,822,28.6705,793.329,850.671
6,5.5,301,17.3494,283.651,318.349
7,6.5,91,9.53939,81.4606,100.539
8,7.5,33,5.74456,27.2554,38.7446
9,8.5,5,2.23607,2.76393,7.23607
10,9.5,4,2,2,6
11,10.5,0,0,0,0
12,11.5,1,1,0,2
13,12.5,0,0,0,0
14,13.5,0,0,0,0
15,14.5,0,0,0,0
16,15.5,0,0,0,0
17,16.5,0,0,0,0
18,17.5,0,0,0,0
19,18.5,0,0,0,0
20,19.5,0,0,0,0
