Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,2,1.41421,0.585786,3.41421
5,-57.4,221,14.8661,206.134,235.866
6,-54.6,212,14.5602,197.44,226.56
7,-51.8,228,15.0997,212.9,243.1
8,-49,242,15.5563,226.444,257.556
9,-46.2,243,15.5885,227.412,258.588
10,-43.4,243,15.5885,227.412,258.588
11,-40.6,236,15.3623,220.638,251.362
12,-37.8,237,15.3948,221.605,252.395
13,-35,266,16.3095,249.69,282.31
14,-32.2,295,17.1756,277.824,312.176
15,-29.4,233,15.2643,217.736,248.264
16,-26.6,248,15.748,232.252,263.748
17,-23.8,244,15.6205,228.38,259.62
18,-21,235,15.3297,219.67,250.33
19,-18.2,241,15.5242,225.476,256.524
20,-15.4,235,15.3297,219.67,250.33
21,-12.6,250,15.8114,234.189,265.811
22,-9.8,214,14.6287,199.371,228.629
23,-7,176,13.2665,162.734,189.266
24,-4.2,49,7,42,56
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,56,7.48331,48.5167,63.4833
28,7,210,14.4914,195.509,224.491
29,9.8,182,13.4907,168.509,195.491
30,12.6,244,15.6205,228.38,259.62
31,15.4,205,14.3178,190.682,219.318
32,18.2,218,14.7648,203.235,232.765
33,21,249,15.7797,233.22,264.78
34,23.8,216,14.6969,201.303,230.697
35,26.6,229,15.1327,213.867,244.133
36,29.4,218,14.7648,203.235,232.765
37,32.2,291,17.0587,273.941,308.059
38,35,218,14.7648,203.235,232.765
39,37.8,239,15.4596,223.54,254.46
40,40.6,275,16.5831,258.417,291.583
41,43.4,229,15.1327,213.867,244.133
42,46.2,241,15.5242,225.476,256.524
43,49,237,15.3948,221.605,252.395
44,51.8,214,14.6287,199.371,228.629
45,54.6,209,14.4568,194.543,223.457
46,57.4,229,15.1327,213.867,244.133
47,60.2,3,1.73205,1.26795,4.73205
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
