Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,46,6.78233,39.2177,52.7823
6,-54.6,176,13.2665,162.734,189.266
7,-51.8,189,13.7477,175.252,202.748
8,-49,224,14.9666,209.033,238.967
9,-46.2,219,14.7986,204.201,233.799
10,-43.4,202,14.2127,187.787,216.213
11,-40.6,207,14.3875,192.613,221.387
12,-37.8,203,14.2478,188.752,217.248
13,-35,239,15.4596,223.54,254.46
14,-32.2,218,14.7648,203.235,232.765
15,-29.4,201,14.1774,186.823,215.177
16,-26.6,229,15.1327,213.867,244.133
17,-23.8,224,14.9666,209.033,238.967
18,-21,275,16.5831,258.417,291.583
19,-18.2,239,15.4596,223.54,254.46
20,-15.4,222,14.8997,207.1,236.9
21,-12.6,240,15.4919,224.508,255.492
22,-9.8,243,15.5885,227.412,258.588
23,-7,215,14.6629,200.337,229.663
24,-4.2,255,15.9687,239.031,270.969
25,-1.4,244,15.6205,228.38,259.62
26,1.4,226,15.0333,210.967,241.033
27,4.2,274,16.5529,257.447,290.553
28,7,233,15.2643,217.736,248.264
29,9.8,211,14.5258,196.474,225.526
30,12.6,255,15.9687,239.031,270.969
31,15.4,185,13.6015,171.399,198.601
32,18.2,229,15.1327,213.867,244.133
33,21,220,14.8324,205.168,234.832
34,23.8,211,14.5258,196.474,225.526
35,26.6,236,15.3623,220.638,251.362
36,29.4,218,14.7648,203.235,232.765
37,32.2,251,15.843,235.157,266.843
38,35,199,14.1067,184.893,213.107
39,37.8,213,14.5945,198.405,227.595
40,40.6,234,15.2971,218.703,249.297
41,43.4,187,13.6748,173.325,200.675
42,46.2,202,14.2127,187.787,216.213
43,49,208,14.4222,193.578,222.422
44,51.8,182,13.4907,168.509,195.491
45,54.6,196,14,182,210
46,57.4,82,9.05539,72.9446,91.0554
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
