Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,38,6.16441,31.8356,44.1644
5,-57.4,195,13.9642,181.036,208.964
6,-54.6,243,15.5885,227.412,258.588
7,-51.8,232,15.2315,216.768,247.232
8,-49,211,14.5258,196.474,225.526
9,-46.2,217,14.7309,202.269,231.731
10,-43.4,252,15.8745,236.125,267.875
11,-40.6,219,14.7986,204.201,233.799
12,-37.8,214,14.6287,199.371,228.629
13,-35,256,16,240,272
14,-32.2,251,15.843,235.157,266.843
15,-29.4,228,15.0997,212.9,243.1
16,-26.6,230,15.1658,214.834,245.166
17,-23.8,248,15.748,232.252,263.748
18,-21,253,15.906,237.094,268.906
19,-18.2,214,14.6287,199.371,228.629
20,-15.4,235,15.3297,219.67,250.33
21,-12.6,242,15.5563,226.444,257.556
22,-9.8,205,14.3178,190.682,219.318
23,-7,237,15.3948,221.605,252.395
24,-4.2,50,7.07107,42.9289,57.0711
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,76,8.7178,67.2822,84.7178
28,7,250,15.8114,234.189,265.811
29,9.8,225,15,210,240
30,12.6,267,16.3401,250.66,283.34
31,15.4,253,15.906,237.094,268.906
32,18.2,261,16.1555,244.845,277.155
33,21,271,16.4621,254.538,287.462
34,23.8,266,16.3095,249.69,282.31
35,26.6,260,16.1245,243.875,276.125
36,29.4,264,16.2481,247.752,280.248
37,32.2,275,16.5831,258.417,291.583
38,35,232,15.2315,216.768,247.232
39,37.8,209,14.4568,194.543,223.457
40,40.6,251,15.843,235.157,266.843
41,43.4,237,15.3948,221.605,252.395
42,46.2,219,14.7986,204.201,233.799
43,49,229,15.1327,213.867,244.133
44,51.8,187,13.6748,173.325,200.675
45,54.6,146,12.083,133.917,158.083
46,57.4,109,10.4403,98.5597,119.44
47,60.2,5,2.23607,2.76393,7.23607
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
