Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,6,2.44949,3.55051,8.44949
5,-57.4,27,5.19615,21.8038,32.1962
6,-54.6,30,5.47723,24.5228,35.4772
7,-51.8,27,5.19615,21.8038,32.1962
8,-49,36,6,30,42
9,-46.2,21,4.58258,16.4174,25.5826
10,-43.4,36,6,30,42
11,-40.6,40,6.32456,33.6754,46.3246
12,-37.8,31,5.56776,25.4322,36.5678
13,-35,33,5.74456,27.2554,38.7446
14,-32.2,32,5.65685,26.3431,37.6569
15,-29.4,20,4.47214,15.5279,24.4721
16,-26.6,40,6.32456,33.6754,46.3246
17,-23.8,24,4.89898,19.101,28.899
18,-21,25,5,20,30
19,-18.2,33,5.74456,27.2554,38.7446
20,-15.4,21,4.58258,16.4174,25.5826
21,-12.6,34,5.83095,28.169,39.831
22,-9.8,27,5.19615,21.8038,32.1962
23,-7,19,4.3589,14.6411,23.3589
24,-4.2,7,2.64575,4.35425,9.64575
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,8,2.82843,5.17157,10.8284
28,7,16,4,12,20
29,9.8,20,4.47214,15.5279,24.4721
30,12.6,27,5.19615,21.8038,32.1962
31,15.4,17,4.12311,12.8769,21.1231
32,18.2,26,5.09902,20.901,31.099
33,21,25,5,20,30
34,23.8,18,4.24264,13.7574,22.2426
35,26.6,17,4.12311,12.8769,21.1231
36,29.4,26,5.09902,20.901,31.099
37,32.2,20,4.47214,15.5279,24.4721
38,35,14,3.74166,10.2583,17.7417
39,37.8,14,3.74166,10.2583,17.7417
40,40.6,24,4.89898,19.101,28.899
41,43.4,20,4.47214,15.5279,24.4721
42,46.2,23,4.79583,18.2042,27.7958
43,49,32,5.65685,26.3431,37.6569
44,51.8,33,5.74456,27.2554,38.7446
45,54.6,13,3.60555,9.39445,16.6056
46,57.4,10,3.16228,6.83772,13.1623
47,60.2,4,2,2,6
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
