Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,3,1.73205,1.26795,4.73205
4,-60.2,14,3.74166,10.2583,17.7417
5,-57.4,339,18.412,320.588,357.412
6,-54.6,276,16.6132,259.387,292.613
7,-51.8,315,17.7482,297.252,332.748
8,-49,344,18.5472,325.453,362.547
9,-46.2,357,18.8944,338.106,375.894
10,-43.4,325,18.0278,306.972,343.028
11,-40.6,361,19,342,380
12,-37.8,333,18.2483,314.752,351.248
13,-35,357,18.8944,338.106,375.894
14,-32.2,404,20.0998,383.9,424.1
15,-29.4,336,18.3303,317.67,354.33
16,-26.6,347,18.6279,328.372,365.628
17,-23.8,340,18.4391,321.561,358.439
18,-21,347,18.6279,328.372,365.628
19,-18.2,311,17.6352,293.365,328.635
20,-15.4,315,17.7482,297.252,332.748
21,-12.6,343,18.5203,324.48,361.52
22,-9.8,286,16.9115,269.088,302.912
23,-7,251,15.843,235.157,266.843
24,-4.2,72,8.48528,63.5147,80.4853
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,88,9.38083,78.6192,97.3808
28,7,270,16.4317,253.568,286.432
29,9.8,258,16.0624,241.938,274.062
30,12.6,314,17.72,296.28,331.72
31,15.4,285,16.8819,268.118,301.882
32,18.2,284,16.8523,267.148,300.852
33,21,340,18.4391,321.561,358.439
34,23.8,303,17.4069,285.593,320.407
35,26.6,315,17.7482,297.252,332.748
36,29.4,313,17.6918,295.308,330.692
37,32.2,418,20.445,397.555,438.445
38,35,305,17.4642,287.536,322.464
39,37.8,328,18.1108,309.889,346.111
40,40.6,409,20.2237,388.776,429.224
41,43.4,327,18.0831,308.917,345.083
42,46.2,327,18.0831,308.917,345.083
43,49,369,19.2094,349.791,388.209
44,51.8,298,17.2627,280.737,315.263
45,54.6,294,17.1464,276.854,311.146
46,57.4,346,18.6011,327.399,364.601
47,60.2,13,3.60555,9.39445,16.6056
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
