Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,2,1.41421,0.585786,3.41421
6,-54.6,1,1,0,2
7,-51.8,0,0,0,0
8,-49,0,0,0,0
9,-46.2,0,0,0,0
10,-43.4,2,1.41421,0.585786,3.41421
11,-40.6,2,1.41421,0.585786,3.41421
12,-37.8,0,0,0,0
13,-35,0,0,0,0
14,-32.2,2,1.41421,0.585786,3.41421
15,-29.4,2,1.41421,0.585786,3.41421
16,-26.6,1,1,0,2
17,-23.8,2,1.41421,0.585786,3.41421
18,-21,3,1.73205,1.26795,4.73205
19,-18.2,1,1,0,2
20,-15.4,0,0,0,0
21,-12.6,0,0,0,0
22,-9.8,2,1.41421,0.585786,3.41421
23,-7,0,0,0,0
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,2,1.41421,0.585786,3.41421
29,9.8,5,2.23607,2.76393,7.23607
30,12.6,5,2.23607,2.76393,7.23607
31,15.4,4,2,2,6
32,18.2,4,2,2,6
33,21,2,1.41421,0.585786,3.41421
34,23.8,2,1.41421,0.585786,3.41421
35,26.6,1,1,0,2
36,29.4,2,1.41421,0.585786,3.41421
37,32.2,5,2.23607,2.76393,7.23607
38,35,7,2.64575,4.35425,9.64575
39,37.8,6,2.44949,3.55051,8.44949
40,40.6,5,2.23607,2.76393,7.23607
41,43.4,9,3,6,12
42,46.2,5,2.23607,2.76393,7.23607
43,49,4,2,2,6
44,51.8,2,1.41421,0.585786,3.41421
45,54.6,9,3,6,12
46,57.4,2,1.41421,0.585786,3.41421
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
