Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,43,6.55744,36.4426,49.5574
6,-54.6,41,6.40312,34.5969,47.4031
7,-51.8,46,6.78233,39.2177,52.7823
8,-49,71,8.42615,62.5739,79.4261
9,-46.2,60,7.74597,52.254,67.746
10,-43.4,63,7.93725,55.0627,70.9373
11,-40.6,57,7.54983,49.4502,64.5498
12,-37.8,55,7.4162,47.5838,62.4162
13,-35,60,7.74597,52.254,67.746
14,-32.2,79,8.88819,70.1118,87.8882
15,-29.4,63,7.93725,55.0627,70.9373
16,-26.6,70,8.3666,61.6334,78.3666
17,-23.8,46,6.78233,39.2177,52.7823
18,-21,76,8.7178,67.2822,84.7178
19,-18.2,55,7.4162,47.5838,62.4162
20,-15.4,73,8.544,64.456,81.544
21,-12.6,84,9.16515,74.8348,93.1652
22,-9.8,53,7.28011,45.7199,60.2801
23,-7,45,6.7082,38.2918,51.7082
24,-4.2,17,4.12311,12.8769,21.1231
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,19,4.3589,14.6411,23.3589
28,7,50,7.07107,42.9289,57.0711
29,9.8,52,7.2111,44.7889,59.2111
30,12.6,75,8.66025,66.3397,83.6603
31,15.4,50,7.07107,42.9289,57.0711
32,18.2,67,8.18535,58.8146,75.1854
33,21,65,8.06226,56.9377,73.0623
34,23.8,46,6.78233,39.2177,52.7823
35,26.6,68,8.24621,59.7538,76.2462
36,29.4,43,6.55744,36.4426,49.5574
37,32.2,57,7.54983,49.4502,64.5498
38,35,54,7.34847,46.6515,61.3485
39,37.8,56,7.48331,48.5167,63.4833
40,40.6,62,7.87401,54.126,69.874
41,43.4,51,7.14143,43.8586,58.1414
42,46.2,45,6.7082,38.2918,51.7082
43,49,68,8.24621,59.7538,76.2462
44,51.8,41,6.40312,34.5969,47.4031
45,54.6,57,7.54983,49.4502,64.5498
46,57.4,51,7.14143,43.8586,58.1414
47,60.2,7,2.64575,4.35425,9.64575
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
