Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,11,3.31662,7.68338,14.3166
5,-57.4,100,10,90,110
6,-54.6,95,9.74679,85.2532,104.747
7,-51.8,106,10.2956,95.7044,116.296
8,-49,152,12.3288,139.671,164.329
9,-46.2,111,10.5357,100.464,121.536
10,-43.4,123,11.0905,111.909,134.091
11,-40.6,144,12,132,156
12,-37.8,126,11.225,114.775,137.225
13,-35,120,10.9545,109.046,130.954
14,-32.2,115,10.7238,104.276,125.724
15,-29.4,118,10.8628,107.137,128.863
16,-26.6,124,11.1355,112.864,135.136
17,-23.8,121,11,110,132
18,-21,123,11.0905,111.909,134.091
19,-18.2,106,10.2956,95.7044,116.296
20,-15.4,103,10.1489,92.8511,113.149
21,-12.6,142,11.9164,130.084,153.916
22,-9.8,83,9.11043,73.8896,92.1104
23,-7,76,8.7178,67.2822,84.7178
24,-4.2,25,5,20,30
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,29,5.38516,23.6148,34.3852
28,7,89,9.43398,79.566,98.434
29,9.8,80,8.94427,71.0557,88.9443
30,12.6,127,11.2694,115.731,138.269
31,15.4,103,10.1489,92.8511,113.149
32,18.2,108,10.3923,97.6077,118.392
33,21,138,11.7473,126.253,149.747
34,23.8,113,10.6301,102.37,123.63
35,26.6,133,11.5326,121.467,144.533
36,29.4,107,10.3441,96.6559,117.344
37,32.2,138,11.7473,126.253,149.747
38,35,115,10.7238,104.276,125.724
39,37.8,133,11.5326,121.467,144.533
40,40.6,156,12.49,143.51,168.49
41,43.4,99,9.94987,89.0501,108.95
42,46.2,113,10.6301,102.37,123.63
43,49,136,11.6619,124.338,147.662
44,51.8,89,9.43398,79.566,98.434
45,54.6,110,10.4881,99.5119,120.488
46,57.4,94,9.69536,84.3046,103.695
47,60.2,11,3.31662,7.68338,14.3166
48,63,1,1,0,2
49,65.8,0,0,0,0
50,68.6,0,0,0,0
