Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,7,2.64575,4.35425,9.64575
6,-54.6,23,4.79583,18.2042,27.7958
7,-51.8,21,4.58258,16.4174,25.5826
8,-49,26,5.09902,20.901,31.099
9,-46.2,32,5.65685,26.3431,37.6569
10,-43.4,22,4.69042,17.3096,26.6904
11,-40.6,25,5,20,30
12,-37.8,21,4.58258,16.4174,25.5826
13,-35,26,5.09902,20.901,31.099
14,-32.2,27,5.19615,21.8038,32.1962
15,-29.4,16,4,12,20
16,-26.6,24,4.89898,19.101,28.899
17,-23.8,19,4.3589,14.6411,23.3589
18,-21,25,5,20,30
19,-18.2,17,4.12311,12.8769,21.1231
20,-15.4,19,4.3589,14.6411,23.3589
21,-12.6,31,5.56776,25.4322,36.5678
22,-9.8,22,4.69042,17.3096,26.6904
23,-7,22,4.69042,17.3096,26.6904
24,-4.2,22,4.69042,17.3096,26.6904
25,-1.4,23,4.79583,18.2042,27.7958
26,1.4,37,6.08276,30.9172,43.0828
27,4.2,25,5,20,30
28,7,33,5.74456,27.2554,38.7446
29,9.8,19,4.3589,14.6411,23.3589
30,12.6,29,5.38516,23.6148,34.3852
31,15.4,11,3.31662,7.68338,14.3166
32,18.2,19,4.3589,14.6411,23.3589
33,21,15,3.87298,11.127,18.873
34,23.8,18,4.24264,13.7574,22.2426
35,26.6,29,5.38516,23.6148,34.3852
36,29.4,27,5.19615,21.8038,32.1962
37,32.2,45,6.7082,38.2918,51.7082
38,35,21,4.58258,16.4174,25.5826
39,37.8,22,4.69042,17.3096,26.6904
40,40.6,27,5.19615,21.8038,32.1962
41,43.4,24,4.89898,19.101,28.899
42,46.2,14,3.74166,10.2583,17.7417
43,49,20,4.47214,15.5279,24.4721
44,51.8,25,5,20,30
45,54.6,28,5.2915,22.7085,33.2915
46,57.4,18,4.24264,13.7574,22.2426
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
