Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,2,1.41421,0.585786,3.41421
4,-60.2,0,0,0,0
5,-57.4,93,9.64365,83.3563,102.644
6,-54.6,275,16.5831,258.417,291.583
7,-51.8,278,16.6733,261.327,294.673
8,-49,353,18.7883,334.212,371.788
9,-46.2,305,17.4642,287.536,322.464
10,-43.4,282,16.7929,265.207,298.793
11,-40.6,331,18.1934,312.807,349.193
12,-37.8,273,16.5227,256.477,289.523
13,-35,329,18.1384,310.862,347.138
14,-32.2,311,17.6352,293.365,328.635
15,-29.4,273,16.5227,256.477,289.523
16,-26.6,315,17.7482,297.252,332.748
17,-23.8,305,17.4642,287.536,322.464
18,-21,410,20.2485,389.752,430.248
19,-18.2,326,18.0555,307.945,344.055
20,-15.4,313,17.6918,295.308,330.692
21,-12.6,367,19.1572,347.843,386.157
22,-9.8,330,18.1659,311.834,348.166
23,-7,270,16.4317,253.568,286.432
24,-4.2,360,18.9737,341.026,378.974
25,-1.4,336,18.3303,317.67,354.33
26,1.4,306,17.4929,288.507,323.493
27,4.2,404,20.0998,383.9,424.1
28,7,319,17.8606,301.139,336.861
29,9.8,289,17,272,306
30,12.6,376,19.3907,356.609,395.391
31,15.4,256,16,240,272
32,18.2,300,17.3205,282.679,317.321
33,21,315,17.7482,297.252,332.748
34,23.8,279,16.7033,262.297,295.703
35,26.6,327,18.0831,308.917,345.083
36,29.4,294,17.1464,276.854,311.146
37,32.2,342,18.4932,323.507,360.493
38,35,251,15.843,235.157,266.843
39,37.8,295,17.1756,277.824,312.176
40,40.6,328,18.1108,309.889,346.111
41,43.4,261,16.1555,244.845,277.155
42,46.2,269,16.4012,252.599,285.401
43,49,305,17.4642,287.536,322.464
44,51.8,256,16,240,272
45,54.6,244,15.6205,228.38,259.62
46,57.4,125,11.1803,113.82,136.18
47,60.2,2,1.41421,0.585786,3.41421
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
