Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,2,1.41421,0.585786,3.41421
7,-51.8,3,1.73205,1.26795,4.73205
8,-49,0,0,0,0
9,-46.2,2,1.41421,0.585786,3.41421
10,-43.4,2,1.41421,0.585786,3.41421
11,-40.6,3,1.73205,1.26795,4.73205
12,-37.8,0,0,0,0
13,-35,7,2.64575,4.35425,9.64575
14,-32.2,2,1.41421,0.585786,3.41421
15,-29.4,2,1.41421,0.585786,3.41421
16,-26.6,3,1.73205,1.26795,4.73205
17,-23.8,2,1.41421,0.585786,3.41421
18,-21,3,1.73205,1.26795,4.73205
19,-18.2,5,2.23607,2.76393,7.23607
20,-15.4,4,2,2,6
21,-12.6,2,1.41421,0.585786,3.41421
22,-9.8,0,0,0,0
23,-7,3,1.73205,1.26795,4.73205
24,-4.2,0,0,0,0
25,-1.4,1,1,0,2
26,1.4,0,0,0,0
27,4.2,2,1.41421,0.585786,3.41421
28,7,8,2.82843,5.17157,10.8284
29,9.8,2,1.41421,0.585786,3.41421
30,12.6,2,1.41421,0.585786,3.41421
31,15.4,2,1.41421,0.585786,3.41421
32,18.2,2,1.41421,0.585786,3.41421
33,21,2,1.41421,0.585786,3.41421
34,23.8,3,1.73205,1.26795,4.73205
35,26.6,6,2.44949,3.55051,8.44949
36,29.4,5,2.23607,2.76393,7.23607
37,32.2,4,2,2,6
38,35,1,1,0,2
39,37.8,0,0,0,0
40,40.6,1,1,0,2
41,43.4,2,1.41421,0.585786,3.41421
42,46.2,4,2,2,6
43,49,4,2,2,6
44,51.8,2,1.41421,0.585786,3.41421
45,54.6,3,1.73205,1.26795,4.73205
46,57.4,0,0,0,0
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
