Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,1,1,0,2
4,-60.2,1,1,0,2
5,-57.4,11,3.31662,7.68338,14.3166
6,-54.6,32,5.65685,26.3431,37.6569
7,-51.8,52,7.2111,44.7889,59.2111
8,-49,47,6.85565,40.1443,53.8557
9,-46.2,48,6.9282,41.0718,54.9282
10,-43.4,41,6.40312,34.5969,47.4031
11,-40.6,49,7,42,56
12,-37.8,60,7.74597,52.254,67.746
13,-35,47,6.85565,40.1443,53.8557
14,-32.2,55,7.4162,47.5838,62.4162
15,-29.4,55,7.4162,47.5838,62.4162
16,-26.6,61,7.81025,53.1898,68.8102
17,-23.8,51,7.14143,43.8586,58.1414
18,-21,71,8.42615,62.5739,79.4261
19,-18.2,67,8.18535,58.8146,75.1854
20,-15.4,61,7.81025,53.1898,68.8102
21,-12.6,67,8.18535,58.8146,75.1854
22,-9.8,61,7.81025,53.1898,68.8102
23,-7,62,7.87401,54.126,69.874
24,-4.2,79,8.88819,70.1118,87.8882
25,-1.4,57,7.54983,49.4502,64.5498
26,1.4,55,7.4162,47.5838,62.4162
27,4.2,78,8.83176,69.1682,86.8318
28,7,55,7.4162,47.5838,62.4162
29,9.8,53,7.28011,45.7199,60.2801
30,12.6,79,8.88819,70.1118,87.8882
31,15.4,56,7.48331,48.5167,63.4833
32,18.2,57,7.54983,49.4502,64.5498
33,21,57,7.54983,49.4502,64.5498
34,23.8,46,6.78233,39.2177,52.7823
35,26.6,65,8.06226,56.9377,73.0623
36,29.4,56,7.48331,48.5167,63.4833
37,32.2,56,7.48331,48.5167,63.4833
38,35,58,7.61577,50.3842,65.6158
39,37.8,50,7.07107,42.9289,57.0711
40,40.6,62,7.87401,54.126,69.874
41,43.4,38,6.16441,31.8356,44.1644
42,46.2,39,6.245,32.755,45.245
43,49,45,6.7082,38.2918,51.7082
44,51.8,39,6.245,32.755,45.245
45,54.6,42,6.48074,35.5193,48.4807
46,57.4,19,4.3589,14.6411,23.3589
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
