Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,1,1,0,2
7,-51.8,0,0,0,0
8,-49,0,0,0,0
9,-46.2,1,1,0,2
10,-43.4,0,0,0,0
11,-40.6,0,0,0,0
12,-37.8,0,0,0,0
13,-35,0,0,0,0
14,-32.2,1,1,0,2
15,-29.4,0,0,0,0
16,-26.6,1,1,0,2
17,-23.8,4,2,2,6
18,-21,1,1,0,2
19,-18.2,1,1,0,2
20,-15.4,0,0,0,0
21,-12.6,1,1,0,2
22,-9.8,0,0,0,0
23,-7,0,0,0,0
24,-4.2,0,0,0,0
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,2,1.41421,0.585786,3.41421
29,9.8,1,1,0,2
30,12.6,2,1.41421,0.585786,3.41421
31,15.4,0,0,0,0
32,18.2,1,1,0,2
33,21,0,0,0,0
34,23.8,0,0,0,0
35,26.6,1,1,0,2
36,29.4,1,1,0,2
37,32.2,0,0,0,0
38,35,0,0,0,0
39,37.8,2,1.41421,0.585786,3.41421
40,40.6,0,0,0,0
41,43.4,0,0,0,0
42,46.2,1,1,0,2
43,49,0,0,0,0
44,51.8,0,0,0,0
45,54.6,0,0,0,0
46,57.4,2,1.41421,0.585786,3.41421
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
