Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,1,1,0,2
4,-60.2,0,0,0,0
5,-57.4,17,4.12311,12.8769,21.1231
6,-54.6,101,10.0499,90.9501,111.05
7,-51.8,88,9.38083,78.6192,97.3808
8,-49,120,10.9545,109.046,130.954
9,-46.2,120,10.9545,109.046,130.954
10,-43.4,113,10.6301,102.37,123.63
11,-40.6,117,10.8167,106.183,127.817
12,-37.8,95,9.74679,85.2532,104.747
13,-35,128,11.3137,116.686,139.314
14,-32.2,91,9.53939,81.4606,100.539
15,-29.4,99,9.94987,89.0501,108.95
16,-26.6,101,10.0499,90.9501,111.05
17,-23.8,109,10.4403,98.5597,119.44
18,-21,155,12.4499,142.55,167.45
19,-18.2,119,10.9087,108.091,129.909
20,-15.4,87,9.32738,77.6726,96.3274
21,-12.6,115,10.7238,104.276,125.724
22,-9.8,106,10.2956,95.7044,116.296
23,-7,97,9.84886,87.1511,106.849
24,-4.2,128,11.3137,116.686,139.314
25,-1.4,104,10.198,93.802,114.198
26,1.4,99,9.94987,89.0501,108.95
27,4.2,137,11.7047,125.295,148.705
28,7,126,11.225,114.775,137.225
29,9.8,91,9.53939,81.4606,100.539
30,12.6,124,11.1355,112.864,135.136
31,15.4,106,10.2956,95.7044,116.296
32,18.2,147,12.1244,134.876,159.124
33,21,111,10.5357,100.464,121.536
34,23.8,98,9.89949,88.1005,107.899
35,26.6,124,11.1355,112.864,135.136
36,29.4,112,10.583,101.417,122.583
37,32.2,129,11.3578,117.642,140.358
38,35,65,8.06226,56.9377,73.0623
39,37.8,104,10.198,93.802,114.198
40,40.6,124,11.1355,112.864,135.136
41,43.4,99,9.94987,89.0501,108.95
42,46.2,109,10.4403,98.5597,119.44
43,49,107,10.3441,96.6559,117.344
44,51.8,82,9.05539,72.9446,91.0554
45,54.6,90,9.48683,80.5132,99.4868
46,57.4,51,7.14143,43.8586,58.1414
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
