Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,1,1,0,2
4,-60.2,10,3.16228,6.83772,13.1623
5,-57.4,29,5.38516,23.6148,34.3852
6,-54.6,32,5.65685,26.3431,37.6569
7,-51.8,26,5.09902,20.901,31.099
8,-49,23,4.79583,18.2042,27.7958
9,-46.2,24,4.89898,19.101,28.899
10,-43.4,19,4.3589,14.6411,23.3589
11,-40.6,26,5.09902,20.901,31.099
12,-37.8,32,5.65685,26.3431,37.6569
13,-35,21,4.58258,16.4174,25.5826
14,-32.2,24,4.89898,19.101,28.899
15,-29.4,23,4.79583,18.2042,27.7958
16,-26.6,27,5.19615,21.8038,32.1962
17,-23.8,20,4.47214,15.5279,24.4721
18,-21,34,5.83095,28.169,39.831
19,-18.2,20,4.47214,15.5279,24.4721
20,-15.4,27,5.19615,21.8038,32.1962
21,-12.6,32,5.65685,26.3431,37.6569
22,-9.8,22,4.69042,17.3096,26.6904
23,-7,22,4.69042,17.3096,26.6904
24,-4.2,7,2.64575,4.35425,9.64575
25,-1.4,0,0,0,0
26,1.4,3,1.73205,1.26795,4.73205
27,4.2,15,3.87298,11.127,18.873
28,7,21,4.58258,16.4174,25.5826
29,9.8,30,5.47723,24.5228,35.4772
30,12.6,33,5.74456,27.2554,38.7446
31,15.4,22,4.69042,17.3096,26.6904
32,18.2,24,4.89898,19.101,28.899
33,21,31,5.56776,25.4322,36.5678
34,23.8,28,5.2915,22.7085,33.2915
35,26.6,26,5.09902,20.901,31.099
36,29.4,19,4.3589,14.6411,23.3589
37,32.2,34,5.83095,28.169,39.831
38,35,15,3.87298,11.127,18.873
39,37.8,24,4.89898,19.101,28.899
40,40.6,26,5.09902,20.901,31.099
41,43.4,29,5.38516,23.6148,34.3852
42,46.2,18,4.24264,13.7574,22.2426
43,49,23,4.79583,18.2042,27.7958
44,51.8,24,4.89898,19.101,28.899
45,54.6,15,3.87298,11.127,18.873
46,57.4,15,3.87298,11.127,18.873
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
