Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,16,4,12,20
3,-63,2,1.41421,0.585786,3.41421
4,-60.2,47,6.85565,40.1443,53.8557
5,-57.4,255,15.9687,239.031,270.969
6,-54.6,282,16.7929,265.207,298.793
7,-51.8,296,17.2047,278.795,313.205
8,-49,307,17.5214,289.479,324.521
9,-46.2,276,16.6132,259.387,292.613
10,-43.4,310,17.6068,292.393,327.607
11,-40.6,307,17.5214,289.479,324.521
12,-37.8,297,17.2337,279.766,314.234
13,-35,297,17.2337,279.766,314.234
14,-32.2,350,18.7083,331.292,368.708
15,-29.4,303,17.4069,285.593,320.407
16,-26.6,289,17,272,306
17,-23.8,332,18.2209,313.779,350.221
18,-21,367,19.1572,347.843,386.157
19,-18.2,262,16.1864,245.814,278.186
20,-15.4,313,17.6918,295.308,330.692
21,-12.6,313,17.6918,295.308,330.692
22,-9.8,268,16.3707,251.629,284.371
23,-7,303,17.4069,285.593,320.407
24,-4.2,97,9.84886,87.1511,106.849
25,-1.4,0,0,0,0
26,1.4,19,4.3589,14.6411,23.3589
27,4.2,112,10.583,101.417,122.583
28,7,329,18.1384,310.862,347.138
29,9.8,306,17.4929,288.507,323.493
30,12.6,400,20,380,420
31,15.4,360,18.9737,341.026,378.974
32,18.2,349,18.6815,330.318,367.682
33,21,412,20.2978,391.702,432.298
34,23.8,346,18.6011,327.399,364.601
35,26.6,346,18.6011,327.399,364.601
36,29.4,395,19.8746,375.125,414.875
37,32.2,444,21.0713,422.929,465.071
38,35,322,17.9444,304.056,339.944
39,37.8,316,17.7764,298.224,333.776
40,40.6,379,19.4679,359.532,398.468
41,43.4,362,19.0263,342.974,381.026
42,46.2,329,18.1384,310.862,347.138
43,49,382,19.5448,362.455,401.545
44,51.8,291,17.0587,273.941,308.059
45,54.6,247,15.7162,231.284,262.716
46,57.4,197,14.0357,182.964,211.036
47,60.2,37,6.08276,30.9172,43.0828
48,63,9,3,6,12
49,65.8,2,1.41421,0.585786,3.41421
50,68.6,0,0,0,0
