Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,16,4,12,20
5,-57.4,62,7.87401,54.126,69.874
6,-54.6,66,8.12404,57.876,74.124
7,-51.8,60,7.74597,52.254,67.746
8,-49,65,8.06226,56.9377,73.0623
9,-46.2,61,7.81025,53.1898,68.8102
10,-43.4,65,8.06226,56.9377,73.0623
11,-40.6,59,7.68115,51.3189,66.6811
12,-37.8,58,7.61577,50.3842,65.6158
13,-35,57,7.54983,49.4502,64.5498
14,-32.2,67,8.18535,58.8146,75.1854
15,-29.4,66,8.12404,57.876,74.124
16,-26.6,67,8.18535,58.8146,75.1854
17,-23.8,54,7.34847,46.6515,61.3485
18,-21,68,8.24621,59.7538,76.2462
19,-18.2,68,8.24621,59.7538,76.2462
20,-15.4,69,8.30662,60.6934,77.3066
21,-12.6,56,7.48331,48.5167,63.4833
22,-9.8,52,7.2111,44.7889,59.2111
23,-7,47,6.85565,40.1443,53.8557
24,-4.2,14,3.74166,10.2583,17.7417
25,-1.4,0,0,0,0
26,1.4,4,2,2,6
27,4.2,43,6.55744,36.4426,49.5574
28,7,49,7,42,56
29,9.8,43,6.55744,36.4426,49.5574
30,12.6,58,7.61577,50.3842,65.6158
31,15.4,63,7.93725,55.0627,70.9373
32,18.2,64,8,56,72
33,21,63,7.93725,55.0627,70.9373
34,23.8,74,8.60233,65.3977,82.6023
35,26.6,69,8.30662,60.6934,77.3066
36,29.4,68,8.24621,59.7538,76.2462
37,32.2,62,7.87401,54.126,69.874
38,35,51,7.14143,43.8586,58.1414
39,37.8,52,7.2111,44.7889,59.2111
40,40.6,56,7.48331,48.5167,63.4833
41,43.4,45,6.7082,38.2918,51.7082
42,46.2,57,7.54983,49.4502,64.5498
43,49,44,6.63325,37.3668,50.6332
44,51.8,29,5.38516,23.6148,34.3852
45,54.6,25,5,20,30
46,57.4,20,4.47214,15.5279,24.4721
47,60.2,4,2,2,6
48,63,1,1,0,2
49,65.8,0,0,0,0
50,68.6,0,0,0,0
