Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,1,1,0,2
3,-63,3,1.73205,1.26795,4.73205
4,-60.2,32,5.65685,26.3431,37.6569
5,-57.4,121,11,110,132
6,-54.6,115,10.7238,104.276,125.724
7,-51.8,134,11.5758,122.424,145.576
8,-49,125,11.1803,113.82,136.18
9,-46.2,114,10.6771,103.323,124.677
10,-43.4,119,10.9087,108.091,129.909
11,-40.6,114,10.6771,103.323,124.677
12,-37.8,135,11.619,123.381,146.619
13,-35,137,11.7047,125.295,148.705
14,-32.2,153,12.3693,140.631,165.369
15,-29.4,113,10.6301,102.37,123.63
16,-26.6,117,10.8167,106.183,127.817
17,-23.8,126,11.225,114.775,137.225
18,-21,129,11.3578,117.642,140.358
19,-18.2,99,9.94987,89.0501,108.95
20,-15.4,90,9.48683,80.5132,99.4868
21,-12.6,104,10.198,93.802,114.198
22,-9.8,91,9.53939,81.4606,100.539
23,-7,110,10.4881,99.5119,120.488
24,-4.2,24,4.89898,19.101,28.899
25,-1.4,0,0,0,0
26,1.4,5,2.23607,2.76393,7.23607
27,4.2,70,8.3666,61.6334,78.3666
28,7,108,10.3923,97.6077,118.392
29,9.8,103,10.1489,92.8511,113.149
30,12.6,142,11.9164,130.084,153.916
31,15.4,126,11.225,114.775,137.225
32,18.2,110,10.4881,99.5119,120.488
33,21,143,11.9583,131.042,154.958
34,23.8,111,10.5357,100.464,121.536
35,26.6,133,11.5326,121.467,144.533
36,29.4,140,11.8322,128.168,151.832
37,32.2,106,10.2956,95.7044,116.296
38,35,120,10.9545,109.046,130.954
39,37.8,92,9.59166,82.4083,101.592
40,40.6,117,10.8167,106.183,127.817
41,43.4,111,10.5357,100.464,121.536
42,46.2,95,9.74679,85.2532,104.747
43,49,102,10.0995,91.9005,112.1
44,51.8,92,9.59166,82.4083,101.592
45,54.6,63,7.93725,55.0627,70.9373
46,57.4,50,7.07107,42.9289,57.0711
47,60.2,1,1,0,2
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
