histogram,MR6.1
reco_mult_prim_total,0.00914
reco_mult_prim_shower,0.00914
reco_mult_muon,0.00914
reco_mult_pion,0.00914
reco_mult_proton,0.00914
reco_mult_kaon,0.00914
reco_length_prim_muon,0.00914
reco_length_prim_pion,0.00914
reco_length_prim_proton,0.00914
reco_length_prim_kaon,0.00914
reco_energy_prim_muon,0.00914
reco_energy_prim_pion,0.00914
reco_energy_prim_proton,0.00914
reco_energy_prim_kaon,0.00914
reco_cosTheta_prim_muon,0.00914
reco_cosTheta_prim_pion,0.00914
reco_cosTheta_prim_proton,0.00914
reco_cosTheta_prim_kaon,0.00914
reco_start_x_muon,0.00914
reco_start_y_muon,0.00914
reco_start_z_muon,0.00914
reco_start_x_pion,0.00914
reco_start_y_pion,0.00914
reco_start_z_pion,0.00914
reco_start_x_proton,0.00914
reco_start_y_proton,0.00914
reco_start_z_proton,0.00914
reco_start_x_kaon,0.00914
reco_start_y_kaon,0.00914
reco_start_z_kaon,0.00914
reco_nu_vtx_x_CC_LArFV,0.00914
reco_nu_vtx_y_CC_LArFV,0.00914
reco_nu_vtx_z_CC_LArFV,0.00914
