histogram,entries,mean,std_dev
reco_mult_prim_total,8962.00,2.20,1.22
reco_mult_prim_shower,3406.00,2.32,1.86
reco_mult_muon,8595.00,1.42,0.71
reco_mult_pion,1871.00,1.14,0.38
reco_mult_proton,3480.00,1.26,0.56
reco_mult_kaon,756.00,1.24,0.59
reco_length_prim_muon,12580.00,46.28,27.50
reco_length_prim_pion,2241.00,27.23,21.71
reco_length_prim_proton,4446.00,20.40,19.81
reco_length_prim_kaon,976.00,28.67,23.73
reco_energy_prim_muon,12580.00,0.22,0.11
reco_energy_prim_pion,2241.00,0.11,0.08
reco_energy_prim_proton,4446.00,0.16,0.10
reco_energy_prim_kaon,976.00,0.17,0.11
reco_cosTheta_prim_muon,12580.00,0.88,0.29
reco_cosTheta_prim_pion,2241.00,0.60,0.51
reco_cosTheta_prim_proton,4446.00,0.49,0.52
reco_cosTheta_prim_kaon,976.00,0.73,0.40
reco_start_x_muon,12580.00,-0.26,35.89
reco_start_y_muon,12580.00,-0.78,32.11
reco_start_z_muon,12580.00,1.50,34.73
reco_start_x_pion,2241.00,-0.74,34.58
reco_start_y_pion,2241.00,-0.16,30.72
reco_start_z_pion,2241.00,-4.15,34.07
reco_start_x_proton,4446.00,-0.17,35.70
reco_start_y_proton,4446.00,-0.10,32.17
reco_start_z_proton,4446.00,-3.25,34.66
reco_start_x_kaon,976.00,-5.95,35.44
reco_start_y_kaon,976.00,0.78,33.27
reco_start_z_kaon,976.00,-2.49,34.91
reco_nu_vtx_x_CC_LArFV,8962.00,-0.42,35.55
reco_nu_vtx_y_CC_LArFV,8962.00,0.02,31.86
reco_nu_vtx_z_CC_LArFV,8962.00,-0.96,34.37
true_nu_vtx_x_CC_LArFV,13278.00,-0.62,35.66
true_nu_vtx_y_CC_LArFV,13278.00,-0.80,32.70
true_nu_vtx_z_CC_LArFV,13278.00,-0.25,35.65
